groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-219198,219198,219198,0,Mount Marty College,Mount Marty College,Yankton,South Dakota,57078-3724,46,2,2,2,914.678501,941,12202001,18310310,15480854,,103,98,52,50,4701,10,10,800,94,90,9451,96,91,6491,1830,17078,17078,893,11655,11655,12833410,29706161,5320674,24385487,2021841,,,24385487,,13155426,19,152,57,,,,4,,1,,,,228,84,0.56,386,1081,588,133,133,721,493,,,493,1081,133,133,1214,36,12,20,36,1066,6,38,0,4,193,174,88,73,20,12,18,6,0,0,,,,2,53,44,22,10,2,,,4,193,174,90,126,64,34,28,8,0,0,203,46,11,31,48,51,34,41,20,2,6,,,,,,,,,,,,203,46,11,31,48,51,34,41,20,2,6,333,123,210,259,94,165,116,46,70,333,259,110,6,19,24,22,26,17,22,,,,,43,57,4.701105356,6.231697797,204,48466.39535,12.46339559,0.43,43,-97.411406,42.876148,
-219204,219204,219204,0,National American University-Rapid City,,Rapid City,South Dakota,57701-3692,46,3,2,2,1076.041194,1559,17317065,23936331,17339289,0.021979879,36,86,35,83,5997,6,14,5985,2,5,1989,29,69,10497,405,11016,11016,270,8640,8640,26136651,24325872,13142548,,,,,,,,56,172,65,,,,7,,,,,,293,27,0.375,569,1685,399,100,100,499,1286,188,188,1474,1685,288,288,1973,34,22,143,49,790,12,708,215,,3,35,78,99,72,44,44,24,0,,,,,4,24,16,17,21,18,0,,,3,35,82,123,88,61,65,42,0,,,12,111,135,209,231,183,277,124,4,,,,,3,41,28,39,44,32,1,,,12,111,138,250,259,222,321,156,5,,,,,,,,,,,,,,,,,,,,,,,,,7,302,0.650532716,28.06584001,537,43093,20.8170469,0.022653722,7,-103.222473,44.078063,
-219213,219213,219213,0,National American University-Sioux Falls,,Sioux Falls,South Dakota,57105-4293,46,3,2,2,300.821369,525,5806137,5931012,5806137,0.003690406,21,91,16,70,4770,2,9,3000,2,9,1962,21,91,9827,405,10935,10935,,,,3594867,231490,4014,,,,,,,,45,19,,,,,0,,,,,,64,3,0.25,188,554,137,,,137,417,,,417,554,,,554,15,2,12,5,269,2,249,0,,4,19,35,29,19,13,11,7,,,,,,,,,,,,,,,4,19,35,29,19,13,11,7,,,,3,22,55,99,83,67,64,24,,,,,,,,,,,,,,,3,22,55,99,83,67,64,24,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,6.980887053,46,,6.980887053,,,-96.71729,43.4884,
-219240,219240,219240,0,Sioux Falls Seminary,,Sioux Falls,South Dakota,57105,46,2,2,2,92.249127,107,1355659,3019642,2633523,0.381032398,,,,,,,,,,,,,,,,,,35,13910,13910,3787076,11576675,8003662,3573013,800820,,,3573013,,2060741,,,30,,,,,,1,,,,30,,,,,,72,72,72,,53,53,53,,125,125,125,0,0,6,0,118,0,0,1,,,,,,,,,,,,,,1,19,20,6,7,14,5,,,,,1,19,20,6,7,14,5,,,,,,,,,,,,,,,,0,0,12,4,3,20,14,,,,,0,0,12,4,3,20,14,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,13.00825318,5.420105493,43,42529.16667,40.10878065,0.705882353,12,-96.736277,43.52574,
-219259,219259,219259,0,Northern State University,Northern State University,Aberdeen,South Dakota,57401-7198,46,1,2,2,1991.734485,2023,11680464,32952154,25071968,0.170782085,308,97,139,44,5135,53,17,958,199,63,2011,243,76,5785,3312,2751,8737,2649,3336,7062,35577202,42397814,15473483,26924331,2021198,,,26924331,,,16,252,66,,,13,,,7,,,,334,135,0.473684211,939,2300,1539,44,44,1583,761,281,281,1042,2300,325,325,2625,56,23,37,31,2017,37,239,185,1,503,593,313,77,26,12,11,3,0,,,,0,16,10,5,3,6,4,,,1,503,593,329,87,31,15,17,7,0,,153,55,82,183,116,58,41,48,24,1,,,,1,22,65,47,27,68,51,,,153,55,83,205,181,105,68,116,75,1,,1023,405,518,863,371,492,331,128,203,1023,863,325,6,18,24,17,24,17,25,450,580,390,540,96,34,4.819919559,3.765562155,427,57307.5,15.61453107,0.561403509,96,-98.483697,45.452739,
-219277,219277,219277,0,Oglala Lakota College,,Kyle,South Dakota,57752-0490,46,1,2,2,1333.940251,1251,3053393,31858913,4380076,0.383997409,187,91,178,86,5350,20,10,380,128,62,590,0,0,,476,1920,1920,282,1035,1035,31507470,60280202,7726018,52554184,1703344,,,52554184,,,102,45,7,,,,20,,0,,,,154,20,0.148148148,306,1614,986,33,33,1019,741,44,44,785,1727,77,77,1804,1636,3,1,11,147,,6,0,1,71,146,162,202,142,96,105,57,4,,,,,,0,5,5,8,12,3,,1,71,146,162,202,147,101,113,69,7,,13,44,48,79,147,101,79,111,113,6,,,,,,2,3,8,13,18,0,,13,44,48,79,149,104,87,124,131,6,,,,,,,,,,,,,,,,,,,,,,,,,61,98,4.572918461,7.346655889,348,41844.78689,12.96909662,0.383647799,61,-102.240286,43.366642,
-219295,219295,219295,0,Presentation College,,Aberdeen,South Dakota,57401-1280,46,2,2,2,535.107109,562,7971850,11119653,11176676,0.214619818,71,99,31,43,2366,16,22,1367,58,81,3139,56,78,3998,0,14250,14250,,,,13037679,24094744,6324385,17770359,504703,,,17770359,,14708254,24,98,,,,,9,,,,,,122,25,0.396825397,250,679,442,,,442,237,,,237,679,,,679,55,4,10,6,491,,113,0,1,83,120,122,46,29,21,14,6,,,,,,,,,,,,,,1,83,120,122,46,29,21,14,6,,,22,22,13,31,49,33,28,26,13,,,,,,,,,,,,,,22,22,13,31,49,33,28,26,13,,,176,50,126,134,39,95,78,21,57,176,134,72,6,19,23,17,22,16,23,,,,,39,30,7.288260489,5.606354222,134,39667.94872,18.68784741,0.565217391,39,-98.487934,45.481074,
-219338,219338,219338,0,Avera Sacred Heart Hospital,,Yankton,South Dakota,57078-3899,46,2,2,2,17,23,10450,11450,11450,,,,,,,,,,,,,,,,50,900,900,,,,141852,,,,,,,,,,,,,,,,,6,,,,,,,,,,17,,,17,,,,,17,,,17,0,1,1,0,15,,0,0,,,6,7,3,,,1,,,,,,,,,,,,,,,,,6,7,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5.882352941,,1,,5.882352941,1,,-97.407032,42.872566,
-219347,219347,219347,0,South Dakota School of Mines and Technology,,Rapid City,South Dakota,57701-3995,46,1,2,2,1881.498022,1877,13639765,67628263,28472188,0.167990724,337,94,104,29,5282,92,26,953,238,66,2275,225,63,6293,4080,2750,4130,3270,3340,7060,68003839,87007141,35619904,51387237,3201215,,,51387237,,,6,270,52,5,,,,,,,,,333,145,0.450310559,601,1912,1506,182,182,1688,406,82,82,488,1912,264,264,2176,68,29,14,37,1782,,129,117,6,540,471,329,102,37,10,7,4,,0,,,2,78,68,16,6,8,4,,,6,540,473,407,170,53,16,15,8,,0,6,57,73,91,85,44,17,19,6,,8,,,0,10,40,16,5,7,4,,,6,57,73,101,125,60,22,26,10,,8,933,722,208,777,601,176,362,291,71,933,777,361,1,24,28,21,27,25,29,550,670,500,630,126,18,6.696791521,9.992038142,511,74537.28571,16.05103999,0.401273885,126,-103.207304,44.076214,
-219356,219356,219356,0,South Dakota State University,South Dakota State University,Brookings,South Dakota,57007-1898,46,1,2,2,10367.4008,10511,64151589,238193272,128028121,0.125886313,1910,93,625,31,4654,482,24,974,1083,53,2100,1440,70,6555,3404,2751,4124,2723,3336,7062,241092010,339232973,109461023,229771950,13927100,,,229771950,,,19,1675,279,30,70,,,,,0,,0,2073,1052,0.547631442,3399,10794,8579,505,505,9084,2215,1077,1077,3292,10794,1582,1582,12376,249,127,134,112,10530,,769,455,14,3198,3134,1690,360,109,38,27,9,0,0,,,8,265,148,46,15,16,7,0,0,14,3198,3142,1955,508,155,53,43,16,0,0,31,228,357,502,502,256,130,153,52,3,1,,,1,187,361,187,111,143,84,2,1,31,228,358,689,863,443,241,296,136,5,2,4191,2076,2115,3917,1928,1989,2135,1043,1092,4191,3917,2050,85,20,26,19,25,19,26,,,,,608,205,5.864536462,7.282442481,2795,62544.88866,17.48750757,0.446074835,476,-96.78626,44.31697,
