groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-102580,102580,102580,0,ALASKA BIBLE COLLEGE,,GLENNALLEN,Alaska,99588-0289,2,2,-1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,-145.52624,62.11296,
1977,102614,102614,1,University of Alaska Fairbanks,University of Alaska,Fairbanks,Alaska,99775-7480,2,1,2,2,19614.27974,20141,118967505,727567566,464094728,0.116458894,1769,70,676,27,4154,67,3,1000,569,22,2451,896,35,6688,908,4500,14400,970,7584,15504,760958933,1246556980,271160370,975396610,27959190,,,975396610,,,971,1498,620,45,,209,238,,154,0,,0,3134,466,0.308609272,6617,27119,11950,970,970,12920,15169,1584,1584,16753,27119,2554,2554,29673,3175,1356,841,778,18988,1516,2430,589,121,3633,3063,2334,1417,560,296,384,135,,7,,1,15,217,348,191,82,78,38,,0,121,3634,3078,2551,1765,751,378,462,173,,7,739,1281,1457,2188,2629,1640,1268,2030,1661,,276,,0,2,77,357,312,226,335,265,,10,739,1281,1459,2265,2986,1952,1494,2365,1926,,286,2087,973,1114,1554,730,824,1008,499,509,2087,1554,2345,776,18,25,17,25,16,24,430,590,450,600,1345,1148,6.857248995,8.376550259,6780,71557.18707,22.21850641,0.450133869,1021,-147.82475,64.857053,
-102669,102669,102669,0,Alaska Pacific University,Alaska Pacific University,Anchorage,Alaska,99508,2,2,2,2,551.788059,584,10490608,15318501,15255593,0.278375953,27,100,16,59,2509,0,0,,27,100,13754,25,93,7196,110,24300,24300,110,11340,11340,16248744,76522608,33385081,43137527,1205476,,,43137527,,51416627,9,91,61,,,0,0,,17,,,,161,13,0.265306122,206,534,301,105,105,406,233,142,142,375,534,247,247,781,104,21,22,26,489,0,117,2,46,79,70,40,20,17,6,12,6,,5,,,,29,29,11,9,17,10,0,,46,79,70,69,49,28,15,29,16,0,5,21,3,7,14,35,34,28,48,36,,7,,,,13,31,23,21,25,26,3,,21,3,7,27,66,57,49,73,62,3,7,123,54,69,78,38,40,65,28,37,123,78,63,2,21,26,21,27,19,26,490,600,510,630,50,46,9.061450168,11.59865622,188,54883.02,22.47239642,0.438596491,50,-149.814307,61.189535,
-102711,102711,102711,0,Alaska Vocational Technical Center,,Seward,Alaska,99664-0889,2,1,2,2,481.890133,374,1486331,10143765,6430631,0.275536876,288,89,98,30,4772,67,21,5989,30,9,2527,133,41,4554,,,,,,,10540049,,,,,,,,,,,,,,,185,142,,,,,,,,,,,311,,,311,509,,,509,820,,,820,175,18,14,26,409,19,159,0,1,63,55,46,55,23,14,31,23,0,0,,,,,,,,,,,,1,63,55,46,55,23,14,31,23,0,0,3,51,47,76,74,56,54,71,60,3,14,,,,,,,,,,,,3,51,47,76,74,56,54,71,60,3,14,1183,797,386,401,331,70,401,331,70,1183,401,166,235,,,,,,,,,,,43,,8.923195777,,84,,17.43135919,1,,-149.443826,60.110502,
-102845,102845,102845,0,Charter College,,Anchorage,Alaska,99508,2,3,2,2,904.928518,2077,22240394,22240394,22240394,,244,82,244,82,3728,0,0,,0,0,,222,74,12652,0,17750,17750,,,,19302388,42437792,28275101,,,,,,,,179,30,,,,,436,,,,,,209,8,0.727272727,300,1132,758,,,758,374,,,374,1132,,,1132,116,102,73,179,540,,122,0,,95,96,127,162,90,44,46,30,2,66,,,,,,,,,,,,,95,96,127,162,90,44,46,30,2,66,,20,47,42,80,66,56,41,19,0,3,,,,,,,,,,,,,20,47,42,80,66,56,41,19,0,3,,,,,,,,,,,,,,,,,,,,,,,,24,112,2.652143183,12.37666819,260,30106.125,13.59223381,0.176470588,24,-149.83999,61.195436,
-103361,103361,103361,0,Prince William Sound Community College,Prince William Sound Community College,Valdez,Alaska,99686,2,1,2,2,261.204237,288,762743,5997041,3999610,0.002399235,22,81,11,41,4028,1,4,500,4,15,381,7,26,5032,310,3990,3990,,,,6110351,15106436,640938,14465498,530000,,,14465498,,,17,,,,,,0,,,,,,17,5,0.294117647,198,589,93,,,93,501,,,501,594,,,594,74,10,7,10,343,18,126,6,10,35,13,11,12,4,2,3,3,,0,,,,,,,,,,,,10,35,13,11,12,4,2,3,3,,0,168,25,18,28,37,23,37,66,87,,12,,,,,,,,,,,,168,25,18,28,37,23,37,66,87,,12,,,,,,,,,,,,,,,,,,,,,,,,8,30,3.062737455,11.48526546,94,79990.625,16.46221382,0.210526316,8,-146.357096,61.133085,
-103501,103501,103501,0,Career Academy,,Anchorage,Alaska,99507-1033,2,3,2,2,410,528,3696703,3882729,3720934,0.001331186,419,89,301,64,3811,26,5,5788,12,3,296,314,66,3550,,,,,,,3586170,,,,,,,,,,,,,,,154,192,,,,,,,,,,,410,,,410,,,,,410,,,410,106,54,37,34,140,,39,0,,36,62,75,91,55,35,43,13,,,,,,,,,,,,,,,36,62,75,91,55,35,43,13,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,7,16,1.707317073,3.902439024,51,,7.317073171,0.304347826,,-149.855683,61.180849,
-434584,434584,434584,0,Ilisagvik College,Ilisagvik College,Barrow,Alaska,99723,2,1,2,2,106.43266,119,513006,13626071,9996651,0.620111656,11,92,6,50,4062,0,0,,11,92,4712,0,0,,520,2400,3600,,,,12958721,4317950,1147466,3170484,218564,,,3170484,,,6,,,,,36,8,,,,,,6,4,0.333333333,68,226,46,,,46,180,,,180,226,,,226,140,24,2,4,54,,2,0,0,9,8,9,6,6,3,3,1,0,1,,,,,,,,,,,,0,9,8,9,6,6,3,3,1,0,1,12,17,10,15,25,23,15,29,28,4,2,,,,,,,,,,,,12,17,10,15,25,23,15,29,28,4,2,,,,,,,,,,,,,,,,,,,,,,,,15,44,14.09341832,41.34069373,147,58925.92308,62.95060182,0.254237288,13,-156.678996,71.324711,
-442523,442523,442523,0,Alaska Christian College,,Soldotna,Alaska,99669,2,2,2,-1,36.794116,39,426453,1781211,1659185,0.33297925,22,100,20,91,5005,0,0,,22,100,2722,12,55,2974,0,7500,7500,,,,1637017,,,,,,,,,,,,,,,,13,5,,,,,,9,0.310344828,,38,36,,,36,2,,,2,38,,,38,34,0,0,0,1,2,0,1,,16,14,3,,0,,,,,3,,,,,,,,,,,,,16,14,3,,0,,,,,3,,0,1,0,,1,,,,,0,,,,,,,,,,,,,0,1,0,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,2.717825861,,30,,46.20303964,1,,-151.135554,60.488047,
