instname,state,tuition,revenue,control,total_enrollment,all_employees
Phoenix College,Arizona,7488,59499349,1,12164,814
Cortiva Institute-Scottsdale,Arizona,,1989050,3,172,22
University of Phoenix-Phoenix-Hohokam Campus,Arizona,8760,58288934,3,8421,5007
Pima Community College,Arizona,6216,180057463,1,35880,2554
Pima Medical Institute,Arizona,,41747334,3,5333,381
Prescott College,Arizona,23232,15891749,2,1119,239
Refrigeration School Inc,Arizona,,4850919,3,492,43
Rio Salado College,Arizona,7488,115396921,1,20865,1082
Roberto-Venn School of Luthiery,Arizona,,758000,3,35,10
Hair Academy of Safford,Arizona,,779650,3,102,6
Scottsdale Community College,Arizona,7488,56703288,1,10923,818
South Mountain Community College,Arizona,7488,28688995,1,5444,386
Southwestern College,Arizona,14400,7079624,2,401,97
Tucson College,Arizona,,6821769,3,473,52
Universal Technical Institute of Arizona Inc,Arizona,,113720000,3,5847,309
Western International University,Arizona,9792,24284162,3,2927,451
Yavapai College,Arizona,8062,59172911,1,8276,1207
University of Arkansas at Little Rock,Arkansas,13500,179129152,1,13132,2103
University of Arkansas for Medical Sciences,Arkansas,13800,1149901000,1,2774,3762
ABC Beauty College Inc,Arkansas,,116653,3,55,10
Arkansas Baptist College,Arkansas,6400,10986803,2,640,124
Arkansas Beauty School,Arkansas,,182041,3,49,6
Arkansas Beauty College,Arkansas,,438411,3,59,9
Lyon College,Arkansas,19424,16579090,2,614,144
Arkansas College of Barbering and Hair Design,Arkansas,,1225058,3,127,12
Arthur's Beauty College Inc-Fort Smith,Arkansas,,350696,3,40,4
University of Arkansas,Arkansas,13888,757963711,1,19849,5983
University of Arkansas at Pine Bluff,Arkansas,8220,78591324,1,3792,744
Arkansas State University-Beebe,Arkansas,3216,48834370,1,6528,850
Arkansas State University-Main Campus,Arkansas,12810,184966846,1,12156,2016
Arkansas Tech University,Arkansas,8016,88342222,1,8814,996
University of Arkansas at Monticello,Arkansas,7770,39303277,1,3479,502
Arthur's Beauty College Inc,Arkansas,,1414583,3,165,22
Baptist Health Schools-Little Rock,Arkansas,6400,4877045,2,1022,97
Bee Jays Academy,Arkansas,,438291,3,37,8
Black River Technical College,Arkansas,4368,16313061,1,2239,212
University of Central Arkansas,Arkansas,10410,156203197,1,11781,1826
Central Baptist College,Arkansas,9150,4703177,2,625,84
Cossatot Community College of the University of Arkansas,Arkansas,4500,10575573,1,1458,222
Crowley's Ridge College,Arkansas,7650,2405161,2,172,43
Crowleys Ridge Technical Institute,Arkansas,1350,4289081,1,228,97
De Luxe Beauty School,Arkansas,,,3,11,2
East Arkansas Community College,Arkansas,2460,13131100,1,1530,191
Eastern College of Health Vocations,Arkansas,,4717084,3,242,30
Imagine-Paul Mitchell Partner School,Arkansas,,1695555,3,192,19
National Park Community College,Arkansas,4824,24671519,1,3698,329
University of Arkansas Community College-Batesville,Arkansas,2880,12870377,1,1725,200
Harding University,Arkansas,13140,105557606,2,6484,1046
Henderson State University,Arkansas,8160,50387399,1,3567,626
Hendrix College,Arkansas,28713,57456259,2,1463,376
Hot Springs Beauty College,Arkansas,,639831,3,70,7
Jefferson Regional Medical Center School of Nursing,Arkansas,,29250,2,70,11
John Brown University,Arkansas,18032,58785528,2,2073,458
Lees School of Cosmetology,Arkansas,,400701,3,37,5
Career Academy of Hair Design,Arkansas,,3440836,3,232,24
Marsha Kay Beauty College,Arkansas,,214224,3,30,2
Academy of Salon and Spa,Arkansas,,1397860,3,81,12
Mid-South Community College,Arkansas,3240,21584044,1,2192,290
Arkansas Northeastern College,Arkansas,3136,22508246,1,1914,328
Margarets Hair Academy Inc,Arkansas,,543803,3,85,7
New Tyler Barber College Inc,Arkansas,,658299,3,69,7
North Arkansas College,Arkansas,3552,21184774,1,2429,316
Northwest Technical Institute,Arkansas,2475,6492183,1,310,62
Ouachita Baptist University,Arkansas,18038,40799933,2,1447,336
Ouachita Technical College,Arkansas,3540,10674887,1,1610,191
Ozarka College,Arkansas,4032,9864224,1,1364,181
University of the Ozarks,Arkansas,18300,23154103,2,625,209
University of Arkansas Community College-Morrilton,Arkansas,3360,15090148,1,2421,217
Philander Smith College,Arkansas,8620,14979681,2,668,196
Phillips Community College of the University of Arkansas,Arkansas,3060,22512420,1,2282,348
Southeast Arkansas College,Arkansas,4080,13478849,1,2037,222
Professional Cosmetology Education Center,Arkansas,,440972,3,43,5
Pulaski Technical College,Arkansas,3930,48991317,1,10255,701
University of Arkansas Community College-Hope,Arkansas,3450,11213811,1,1474,143
Rich Mountain Community College,Arkansas,4080,8563760,1,1111,129
Searcy Beauty College Inc,Arkansas,,206070,3,106,9
Williams Baptist College,Arkansas,10600,9592036,2,619,103
South Arkansas Community College,Arkansas,3336,15217155,1,1772,194
Southern Arkansas University Main Campus,Arkansas,7740,42957832,1,3226,400
Southern Arkansas University Tech,Arkansas,3870,15871496,1,2007,159
Velvatex College of Beauty Culture,Arkansas,,112825,3,25,4
University of Arkansas-Fort Smith,Arkansas,8820,66154497,1,7335,771
Abram Friedman Occupational Center,California,,9373225,1,10777,218
Academy of Art University,California,17760,247391291,3,15413,2269
ITT Technical Institute-Rancho Cordova,California,16848,13088900,3,731,107
Academy of Chinese Culture and Health Sciences,California,,1684156,2,121,54
The Academy of Radio and TV Broadcasting,California,,1542073,3,76,26
Alameda Beauty College,California,,2035599,3,187,18
College of Alameda,California,5328,170187241,1,35169,1680
Allan Hancock College,California,6042,74479263,1,11070,858
American Academy of Dramatic Arts-West,California,26500,4622634,2,177,62
American Baptist Seminary of the West,California,,2766099,2,64,18
American Film Institute Conservatory,California,,27155124,2,338,195
American Beauty College,California,,247292,3,49,11
American InterContinental University,California,20511,2855584,3,75,35
American Career College,California,,61437891,3,3572,333
American Conservatory Theater,California,17445,20676974,2,35,237
American River College,California,4560,461422826,1,87837,3944
Everest College-Hayward,California,,6343554,3,606,55
Antelope Valley College,California,6480,70915653,1,15705,860
Art Center College of Design,California,31076,70586000,2,1945,558
Associated Technical College,California,,2946350,3,956,94
Associated Technical College,California,,906537,3,123,18
Azusa Pacific University,California,26950,189844935,2,8539,1175
Bakersfield College,California,5448,165497297,1,29315,1324
Bridges Academy of Beauty,California,,54448,3,17,3
Barstow Community College,California,4896,25845031,1,4791,222
Bay Vista College of Beauty,California,,2673694,3,235,18
Bethany University,California,17600,11050041,2,497,174
Bethesda Christian University,California,8200,3437617,2,295,16
Biola University,California,27744,139209000,2,5942,1072
Brooks Institute,California,26160,25307218,3,949,181
Brownson Technical School,California,,2067875,3,79,14
Bryan College,California,11920,7353128,3,630,73
Butte College,California,5184,98386774,1,13147,1064
Phillips Graduate Institute,California,,7698495,2,272,112
California Institute of Integral Studies,California,21285,22027269,2,1279,218
Cabrillo College,California,6160,105127779,1,15974,892
California Baptist University,California,21866,82657933,2,4103,576
California College of the Arts,California,32904,51684000,2,1828,796
University of California Hastings College of Law,California,,55906129,1,1347,571
California Institute of Technology,California,33324,2365740000,2,2130,4085
California Lutheran University,California,28980,89738455,2,3714,645
California Polytechnic State University-San Luis Obispo,California,11160,327570855,1,19325,2451
California State University-Bakersfield,California,11160,125606436,1,8003,898
California State University-Stanislaus,California,11160,127633827,1,8586,918
California State University-Chancellors Office,California,,294345966,1,,607
California State University-San Bernardino,California,11160,229616366,1,17852,1816
California State Polytechnic University-Pomona,California,11160,292383096,1,22273,2209
California State University-Chico,California,11160,236867822,1,16934,1947
California State University-Dominguez Hills,California,11160,162880452,1,14477,1236
California State University-Fresno,California,11160,299074752,1,21500,2363
California State University-Fullerton,California,11160,406626227,1,36262,3244
California State University-East Bay,California,11160,201876306,1,14749,1676
California State University-Long Beach,California,11160,405380199,1,35557,3922
California State University-Los Angeles,California,11160,272026159,1,20619,2123
California State University-Northridge,California,11160,441917571,1,35198,3639
California State University-Sacramento,California,11160,366498792,1,29241,2888
University of California-Berkeley,California,29557,2033088000,1,35830,16612
University of California-Davis,California,29557,2987475000,1,31247,16320
University of California-Irvine,California,29557,1801456000,1,27142,10129
University of California-Los Angeles,California,29557,4847416000,1,38550,22283
University of California-Riverside,California,29557,520445000,1,19384,5345
University of California-San Diego,California,29557,2908774000,1,28418,16333
University of California-San Francisco,California,,3549452000,1,3119,12900
University of California-Santa Barbara,California,29557,773512000,1,22850,6630
University of California-Santa Cruz,California,29557,532015000,1,16775,5125
Institute of Transpersonal Psychology,California,,8555524,2,437,72
California Beauty School,California,,615420,3,65,7
California Christian College,California,6900,906110,2,30,14
California College-San Diego,California,,20198313,3,1299,107
California Culinary Academy,California,14160,19523155,3,869,97
California Hair Design Academy,California,,1723309,3,220,22
California Institute of the Arts,California,34830,69520366,2,1399,612
California Maritime Academy,California,11160,38062908,1,823,229
California Western School of Law,California,,37097706,2,919,211
Canada College,California,5208,27986760,1,7280,337
College of the Canyons,California,5580,105519307,1,21575,943
Career Academy of Beauty,California,,2173095,3,273,20
Casa Loma College-Van Nuys,California,,7709694,2,604,94
CET-San Diego,California,,2454102,2,292,19
CET-Sobrato,California,,5793044,2,649,108
CET-El Centro,California,,3447222,2,360,31
CET-San Bernardino,California,,1814429,2,214,20
CET-Watsonville,California,,1493499,2,126,13
CET-Gilroy,California,,1991962,2,228,16
CET-Salinas,California,,2073807,2,200,21
Cerritos College,California,5320,142959812,1,21776,1122
Chabot College,California,5320,88748874,1,15375,706
Chaffey College,California,5616,152440905,1,21399,1205
Chapman University,California,35790,294609762,2,12784,2517
Charles Drew University of Medicine and Science,California,11200,48679100,2,256,294
Concordia University,California,24650,47808433,2,2564,463
San Diego Christian College,California,20580,9961555,2,439,122
Church Divinity School of the Pacific,California,,5392235,2,83,35
Citrus College,California,780,79922549,1,12895,799
City College of San Francisco,California,4847,337768373,1,32950,2781
Claremont Graduate University,California,,65301453,2,2261,572
Claremont McKenna College,California,38275,136941000,2,1238,447
Milan Institute,California,,7024858,3,685,72
Cleveland Chiropractic College of Los Angeles,California,7038,7819274,2,346,91
Clovis Adult Education,California,,3662849,1,1159,110
Coastline Community College,California,4560,258300748,1,50525,2493
Coleman University,California,45360,12132991,2,574,144
COBA Academy,California,,3818804,3,375,44
Western University of Health Sciences,California,,107239428,2,2663,638
Columbia College,California,5184,150052722,1,22039,1550
Columbia College Hollywood,California,16500,6729695,2,341,85
El Camino College-Compton Center,California,624,41946747,1,6691,435
Western Beauty Institute,California,,2815840,3,663,56
Contra Costa College,California,5960,240141757,1,41040,2130
Cuesta College,California,4400,68574675,1,12025,833
Cuyamaca College,California,5510,127337993,1,29794,1822
Marinello Schools of Beauty,California,,2082577,3,162,15
