instname,state,tuition,revenue,control,total_enrollment,all_employees
Cutting Edge Hairstyling Academy,Kansas,,1389395,3,140,18
Central Baptist Theological Seminary,Kansas,6480,4977318,2,113,17
Central Christian College of Kansas,Kansas,17000,6057844,2,466,111
Cloud County Community College,Kansas,3990,17157912,1,2786,378
Coffeyville Community College,Kansas,2208,19782253,1,2056,178
Colby Community College,Kansas,3104,14159492,1,1565,265
Cowley County Community College,Kansas,3224,23831906,1,4003,374
B Street Design School of International Hair Styling,Kansas,,958743,3,47,7
Dodge City Community College,Kansas,1440,17642270,1,1706,301
Donnelly College,Kansas,5236,5901368,2,661,90
Emporia State University,Kansas,12630,76729050,1,6314,909
Flint Hills Technical College,Kansas,2560,5854189,1,606,114
Fort Hays State University,Kansas,11099,88317379,1,11308,960
Barclay College,Kansas,11000,5864846,2,194,50
Friends University,Kansas,18930,39745000,2,2853,577
Fort Scott Community College,Kansas,3000,14667636,1,2017,253
Garden City Community College,Kansas,2080,21300102,1,2054,415
Haskell Indian Nations University,Kansas,0,17311008,1,1059,191
Hays Academy of Hair Design,Kansas,,641856,3,42,9
Hesston College,Kansas,19610,11795353,2,439,151
Highland Community College,Kansas,3120,18390298,1,3698,374
Hutchinson Community College,Kansas,3008,39566252,1,5453,715
Independence Community College,Kansas,2320,12784188,1,1177,162
Johnson County Community College,Kansas,4770,161581042,1,20385,2390
Concorde Career Colleges,Missouri,,8279000,3,821,64
Kansas City Kansas Community College,Kansas,4410,64458276,1,7137,823
University of Kansas,Kansas,17250,1036622205,1,29242,9925
Newman University,Kansas,19200,21796247,2,2557,328
Old Town Barber and Beauty College,Kansas,,472975,3,34,8
Kansas State University,Kansas,16893,626391241,1,23581,6338
Kansas Wesleyan University,Kansas,19200,14692138,2,852,149
Washburn Institute of Technology,Kansas,,6702990,1,676,74
La Baron Hairdressing Academy,Kansas,,428497,3,79,6
Labette Community College,Kansas,2070,13696084,1,1756,287
Manhattan Area Technical College,Kansas,2700,4975273,1,532,69
Manhattan Christian College,Kansas,10925,5585598,2,345,63
McPherson College,Kansas,17900,13852090,2,629,121
MidAmerica Nazarene University,Kansas,18146,27535953,2,1778,439
Neosho County Community College,Kansas,1440,16591194,1,2275,294
North Central Kansas Technical College,Kansas,,8519342,1,723,99
Northwest Kansas Technical College,Kansas,,6570426,1,291,64
Ottawa University,Kansas,19100,37942810,2,2802,298
Pittsburg State University,Kansas,12176,88242266,1,7277,1074
Pratt Community College,Kansas,1632,12638408,1,1587,148
University of Saint Mary,Kansas,18500,16068360,2,1072,259
Salina Area Technical College,Kansas,3066,4208485,1,339,63
Seward County Community College and Area Technical School,Kansas,2016,17702730,1,1850,297
Sidneys Hair Dressing College,Kansas,,766870,3,66,6
Southwestern College,Kansas,19530,26392597,2,1810,329
Sterling College,Kansas,18000,8318697,2,722,146
Tabor College,Kansas,19200,14058822,2,640,197
Washburn University,Kansas,13680,90446064,1,6652,1013
Wichita Area Technical College,Kansas,,20986935,1,2116,332
Wichita State University,Kansas,12531,218816875,1,14601,2790
Wichita Technical Institute,Kansas,9720,20783729,3,1463,166
Alice Lloyd College,Kentucky,7300,14337870,2,595,113
Asbury College,Kentucky,22242,32884003,2,1619,385
Asbury Theological Seminary,Kentucky,,47478326,2,1567,268
Barrett and Company School of Hair Design,Kentucky,,582801,3,90,7
Bellarmine University,Kentucky,27800,58882239,2,3090,631
Berea College,Kentucky,0,135645830,2,1548,505
PJ's College of Cosmetology,Kentucky,,5353639,3,598,57
Brescia University,Kentucky,15600,10224462,2,725,150
Campbellsville University,Kentucky,18410,33038498,2,3178,559
Centre College,Kentucky,31200,57746211,2,1216,379
Clear Creek Baptist Bible College,Kentucky,4972,4674479,2,182,39
Paul Mitchell The School-Lexington,Kentucky,,1046454,3,84,11
Collins School of Cosmetology,Kentucky,,203396,3,22,8
Galen College of Nursing-Louisville,Kentucky,,31538374,3,2576,354
University of the Cumberlands,Kentucky,15298,43327489,2,2955,331
Eastern Kentucky University,Kentucky,17280,263505237,1,16268,3506
Ezell's Cosmetology School,Kentucky,,502367,3,46,6
Frontier School of Midwifery and Family Nursing,Kentucky,,11538788,2,745,85
Georgetown College,Kentucky,26080,42732788,2,1882,377
PJ's College of Cosmetology,Kentucky,,831385,3,75,13
Paul Mitchell The School-Louisville,Kentucky,,2380965,3,152,23
Daymar College-Paducah Main,Kentucky,,2073664,3,289,44
Jefferson Community and Technical College,Kentucky,10280,569828368,1,100112,8445
Jenny Lea Academy of Cosmetology,Kentucky,,282176,3,26,6
The Salon Professional Academy,Kentucky,,1601878,3,118,14
National College-Lexington,Kentucky,8028,33507541,3,3702,480
Kentucky Mountain Bible College,Kentucky,5700,1370260,2,89,47
Kentucky State University,Kentucky,13458,70583120,1,2834,627
Kentucky Wesleyan College,Kentucky,16870,13629017,2,876,194
University of Kentucky,Kentucky,15769,2257388491,1,26295,13405
Kentucky Christian University,Kentucky,13888,14963911,2,583,124
Lexington Theological Seminary,Kentucky,,4140746,2,66,24
Lindsey Wilson College,Kentucky,17640,34043541,2,2349,430
Louisville Bible College,Kentucky,3960,,2,,
Sullivan College of Technology and Design,Kentucky,16805,9537352,3,630,110
University of Louisville,Kentucky,19272,787933000,1,21016,7538
Louisville Presbyterian Theological Seminary,Kentucky,,9916673,2,212,90
Mid-Continent University,Kentucky,12450,17477218,2,1823,267
Midway College,Kentucky,18000,24181304,2,1392,249
Morehead State University,Kentucky,15096,132842779,1,8822,1538
Mr Jim's College of Cosmetology,Kentucky,,190300,3,34,6
Murray State University,Kentucky,15390,166921337,1,10071,1685
Northern Kentucky University,Kentucky,12792,204652000,1,15378,2221
Nutek Academy of Beauty Inc,Kentucky,,322692,3,26,4
Daymar College-Owensboro Campus,Kentucky,12960,3335503,3,366,45
Pat Wilsons Beauty College,Kentucky,,229112,3,94,4
Pikeville College,Kentucky,14535,27434173,2,1009,227
Brown Mackie College-Louisville,Kentucky,9575,27398128,3,1536,41
Empire Beauty School-Chenoweth,Kentucky,,1525134,3,142,14
Saint Catharine College,Kentucky,14740,11457060,2,852,122
Empire Beauty School-Elizabethtown,Kentucky,,1882509,3,170,17
Empire Beauty School-Dixie,Kentucky,,1539845,3,131,12
Empire Beauty School-Florence,Kentucky,,1634261,3,136,14
Brown Mackie College-Northern Kentucky,Kentucky,10116,11855292,3,672,51
The Southern Baptist Theological Seminary,Kentucky,12780,39800663,2,3361,641
Spalding University,Kentucky,17100,27958717,2,2069,360
Spencerian College,Kentucky,14580,17366510,3,1281,163
Sullivan University,Kentucky,15600,73396087,3,5652,554
Thomas More College,Kentucky,22500,26954463,2,1858,264
Transylvania University,Kentucky,24250,43028730,2,1092,298
Trend Setters Academy-Louisville,Kentucky,,1288790,3,170,12
Union College,Kentucky,17384,19413001,2,1435,225
Western Kentucky University,Kentucky,17784,315038375,1,20712,3274
American School of Business,Louisiana,,609414,3,99,20
Ayers Career College,Louisiana,14900,2241937,3,362,33
Bastrop Beauty School Inc,Louisiana,,,3,16,3
Baton Rouge General Medical Center School of Nursing,Louisiana,8050,669260,2,72,14
Baton Rouge General Medical Center-Radiologic Technology,Louisiana,1500,58400,2,60,5
Baton Rouge School of Computers,Louisiana,,617699,3,56,9
Louisiana Technical College-Baton Rouge Campus,Louisiana,1260,128601179,1,30541,1933
Bossier Parish Community College,Louisiana,3592,31197807,1,5430,561
Cameron College,Louisiana,,1226418,3,173,21
Centenary College of Louisiana,Louisiana,21790,35209451,2,974,264
Cloyds Beauty School 1 Inc,Louisiana,,233137,3,44,5
Crescent City Bartending School,Louisiana,,2546252,3,317,57
D-Jays School of Beauty Arts and Sciences,Louisiana,,580419,3,68,11
Delgado Community College,Louisiana,4762,102172418,1,16758,1264
Delta School of Business and Technology,Louisiana,9590,4094173,3,345,62
Demmons School of Beauty,Louisiana,,217994,3,46,4
Denham Springs Beauty School,Louisiana,,363641,3,78,8
Dillard University,Louisiana,13000,59819494,2,1011,366
Nunez Community College,Louisiana,4102,9174430,1,1834,143
Grambling State University,Louisiana,2606,80177092,1,4992,726
Guy's Shreveport Academy of Cosmetology Inc,Louisiana,,1466700,3,52,20
ITI Technical College,Louisiana,,6374633,3,141,100
John Jay Beauty College,Louisiana,,258000,3,34,4
John Jay Beauty College,Louisiana,,730000,3,120,13
Louisiana State University Health Sciences Center at New Orleans,Louisiana,4510,440634108,1,2644,3539
Louisiana State University at Alexandria,Louisiana,2692,22116355,1,2675,303
Louisiana State University and Agricultural & Mechanical College,Louisiana,3469,921475614,1,28643,9278
Louisiana State University-Eunice,Louisiana,5390,18667619,1,3332,240
Louisiana State University-Shreveport,Louisiana,7502,39029713,1,4667,438
Louisiana Academy of Beauty,Louisiana,,339030,3,51,8
Louisiana College,Louisiana,11100,24019020,2,1461,181
Opelousas School of Cosmetology Inc,Louisiana,,110467,3,28,5
Louisiana State University-System Office,Louisiana,,14151048,1,,62
Louisiana Tech University,Louisiana,10488,151537249,1,11264,1575
Loyola University New Orleans,Louisiana,28770,128836572,2,4714,987
McNeese State University,Louisiana,9228,85140754,1,8638,1023
University of New Orleans,Louisiana,11860,180931929,1,11724,2022
New Orleans Baptist Theological Seminary,Louisiana,5198,23975901,2,2763,379
Nicholls State University,Louisiana,9071,84703391,1,7169,785
University of Louisiana Monroe,Louisiana,8657,119157377,1,9004,1307
Notre Dame Seminary Graduate School of Theology,Louisiana,,3661764,2,112,46
Northwestern State University of Louisiana,Louisiana,9280,89071916,1,9247,1081
Our Lady of Holy Cross College,Louisiana,7440,14265939,2,1325,180
Our Lady of the Lake College,Louisiana,7296,25279875,2,1870,249
Pat Goins Benton Road Beauty School,Louisiana,,321000,3,13,11
Pat Goins Beauty School,Louisiana,,170768,3,7,9
Pat Goins Ruston Beauty School,Louisiana,,201790,3,18,11
Pineville Beauty School,Louisiana,,263937,3,50,5
Aveda Institute-Covington,Louisiana,,6897014,3,295,68
Ronnie & Dormans School of Hair Design,Louisiana,,,3,13,2
Saint Joseph Seminary College,Louisiana,11582,3615835,2,121,46
Vanguard College of Cosmetology,Louisiana,,2391099,3,250,21
South Louisiana Beauty College,Louisiana,,717561,3,48,7
Remington College-Lafayette Campus,Louisiana,14343,7040196,3,434,65
Southern University-Board and System,Louisiana,,3055339,1,,52
Stevensons Academy of Hair Design,Louisiana,,676701,3,124,6
Southeastern Louisiana University,Louisiana,9802,156658473,1,15151,1840
Southern University and A & M College,Louisiana,4100,154345301,1,8218,1732
Southern University at New Orleans,Louisiana,3738,30764967,1,3141,305
Southern University at Shreveport,Louisiana,2708,23632827,1,3014,341
University of Louisiana at Lafayette,Louisiana,12588,220019184,1,16361,2656
Tulane University of Louisiana,Louisiana,37200,769415000,2,11464,5261
Xavier University of Louisiana,Louisiana,15300,106619754,2,3338,774
Andover College,Maine,11566,12856595,3,1545,172
College of the Atlantic,Maine,32580,24997071,2,341,96
Bates College,Maine,,108148425,2,1738,779
Beal College,Maine,,3016465,3,505,40
Bowdoin College,Maine,39605,178133000,2,1777,936
Central Maine Medical Center College of Nursing and Health Professions,Maine,6279,1397219,2,157,26
Central Maine Medical Center School of Radiologic Technology,Maine,3600,119454,2,25,3
Colby College,Maine,,171219000,2,1838,712
Eastern Maine Community College,Maine,5040,18164374,1,2099,117
Husson University,Maine,12690,51066563,2,3495,426
Kennebec Valley Community College,Maine,5040,13066644,1,2298,194
Landing School of Boat Building and Design,Maine,16700,2334257,2,85,15
University of Maine,Maine,22740,715133187,1,35210,6884
Maine Maritime Academy,Maine,15600,30687144,1,939,242
Mercy Hospital School of Radiologic Technology,Maine,3150,,2,19,4
University of New England,Maine,26940,118312232,2,4493,881
Northern Maine Community College,Maine,5040,13661183,1,1129,144
Empire Beauty School-Maine,Maine,,4314513,3,268,37
Maine College of Art,Maine,27550,8498105,2,325,113
Saint Joseph's College of Maine,Maine,25150,32918121,2,2727,486
Spa Tech Institute,Maine,,5373560,3,607,101
Southern Maine Community College,Maine,5040,39326510,1,6261,667
Thomas College,Maine,19900,14921348,2,997,147
Unity College,Maine,20540,13072465,2,564,148
Washington County Community College,Maine,5208,8006595,1,374,78
Aaron's Academy of Beauty,Maryland,,457789,3,61,6
Aesthetics Institute of Cosmetology,Maryland,,294480,3,34,8
Allegany College of Maryland,Maryland,6630,36328832,1,4085,579
Anne Arundel Community College,Maryland,8970,122007042,1,16741,2057
Award Beauty School,Maryland,,1543549,3,248,30
Baltimore Studio of Hair Design,Maryland,,836713,3,100,14
Baltimore City Community College,Maryland,6300,77173496,1,6953,1055
University of Baltimore,Maryland,18832,96109818,1,6265,940
Baltimore International College,Maryland,17930,15843148,2,497,57
Bowie State University,Maryland,14724,82254044,1,5617,783
Capitol College,Maryland,19310,10483802,2,713,159
Cecil College,Maryland,6600,25819032,1,2388,460
College of Southern Maryland,Maryland,5400,63567958,1,8810,949
Chesapeake College,Maryland,6608,26812566,1,2856,493
Washington Adventist University,Maryland,18200,29420307,2,1178,137
Coppin State University,Maryland,12222,74384987,1,3801,788
Delmarva Beauty Academy,Maryland,,928755,3,69,12
North American Trade Schools,Maryland,,7564521,3,529,138
Frederick Community College,Maryland,6792,50019956,1,6233,970
Frostburg State University,Maryland,15196,85341234,1,5385,930
Garrett College,Maryland,7650,14893489,1,897,225
Goucher College,Maryland,33294,74675033,2,2279,554
Kaplan University,Maryland,15300,16265267,3,1112,119
Hagerstown Community College,Maryland,4848,36398428,1,4452,562
Harford Community College,Maryland,5544,51753137,1,6656,996
Hood College,Maryland,27770,45419189,2,2493,419
Howard Community College,Maryland,7260,83361646,1,8778,1184
Johns Hopkins University,Maryland,39150,4330093000,2,20383,20917
L'Academie de Cuisine,Maryland,,3660707,3,113,20
Lincoln College of Technology,Maryland,,17797476,3,1620,133
Loyola University Maryland,Maryland,36510,190468372,2,6067,1412
Maryland Beauty Academy,Maryland,,177933,3,38,6
University of Maryland-University College,Maryland,11976,312563656,1,37347,3074
University of Maryland-Baltimore,Maryland,22599,941307174,1,6382,7419
University of Maryland-Baltimore County,Maryland,15825,326173095,1,12870,2802
University of Maryland-College Park,Maryland,22503,1476927085,1,37195,13081
Maryland Institute College of Art,Maryland,33000,72389536,2,2084,686
University of Maryland Eastern Shore,Maryland,11336,97692769,1,4433,929
Medix School,Maryland,,36115103,3,1796,374
Montgomery Beauty School,Maryland,,870897,3,114,15
Montgomery College,Maryland,8520,263550893,1,26147,2950
Morgan State University,Maryland,13150,180465211,1,7226,1644
Mount St. Mary's University,Maryland,28420,58103111,2,2080,521
Ner Israel Rabbinical College,Maryland,9000,14466301,2,554,73
Hair Academy Inc-New Carrollton,Maryland,,1805137,3,205,31
College of Notre Dame of Maryland,Maryland,26500,41317371,2,2971,461
Prince George's Community College,Maryland,6120,114456461,1,13685,2608
TESST College of Technology-Baltimore,Maryland,,37239753,3,2278,259
Robert Paul Academy of Cosmetology Arts & Sciences,Maryland,,1078668,3,40,12
Maryland Beauty Academy of Essex,Maryland,,637239,3,97,9
St. Mary's Seminary & University,Maryland,14630,11671773,2,241,76
Salisbury University,Maryland,13310,126456416,1,8204,1595
St. Mary's College of Maryland,Maryland,22388,62076814,1,2060,602
Sojourner-Douglass College,Maryland,7720,29932518,2,1294,359
St John's College,Maryland,39992,32169847,2,540,203
Towson University,Maryland,15994,319493062,1,21177,3291
Tai Sophia Institute,Maryland,,8383500,2,424,231
University System of Maryland,Maryland,,33458598,1,,103
United States Naval Academy,Maryland,0,432629766,1,4552,1076
Stevenson University,Maryland,19234,65752500,2,3432,753
Washington Bible College-Capital Bible Seminary,Maryland,12600,7336520,2,582,95
Washington College,Maryland,34690,66430543,2,1368,462
Washington Theological Union,District of Columbia,,3075078,2,256,50
McDaniel College,Maryland,32000,68151000,2,3607,686
Wor-Wic Community College,Maryland,5736,31336550,1,4045,413
New England College of Business and Finance,Massachusetts,8800,1579444,3,765,49
American International College,Massachusetts,25550,47456996,2,3414,713
Amherst College,Massachusetts,38250,304984044,2,1744,800
Andover Newton Theological School,Massachusetts,,6143153,2,301,78
Anna Maria College,Massachusetts,24192,23018733,2,1589,359
Assabet Valley Regional Technical School,Massachusetts,,,1,,0
Assumption College,Massachusetts,29806,68215892,2,2794,619
Atlantic Union College,Massachusetts,14960,11127801,2,468,112
Babson College,Massachusetts,37824,164248630,2,3445,881
Bancroft School of Massage Therapy,Massachusetts,,1098503,3,82,19
Boston Baptist College,Massachusetts,7426,2135287,2,147,32
Bay Path College,Massachusetts,24530,30121070,2,2034,385
Bay State College,Massachusetts,19875,13022749,3,753,166
Bay State School of Technology,Massachusetts,,3413896,3,333,41
Becker College,Massachusetts,24780,31388921,2,1758,394
Bentley University,Massachusetts,34360,195167442,2,5628,1100
Berklee College of Music,Massachusetts,29200,183990730,2,4145,1053
Berkshire Community College,Massachusetts,6240,23061228,1,2601,376
Empire Beauty School-Boston,Massachusetts,,8214819,3,557,66
Boston Architectural College,Massachusetts,11448,23859040,2,1406,486
Boston Graduate School of Psychoanalysis Inc,Massachusetts,,1626884,2,159,53
Boston College,Massachusetts,38530,821848442,2,15036,4637
The Boston Conservatory,Massachusetts,31900,24799224,2,682,253
Boston University,Massachusetts,37910,1667040908,2,31960,12042
Brandeis University,Massachusetts,37530,323812891,2,5598,2246
Bridgewater State College,Massachusetts,7050,141046210,1,10774,1290
Bristol Community College,Massachusetts,5520,58785320,1,8767,885
Signature Healthcare Brockton Hospital School of Nursing,Massachusetts,,4729358,2,320,30
Bunker Hill Community College,Massachusetts,5520,65933901,1,11009,762
Butera School of Art,Massachusetts,17250,,3,23,11
Cambridge College,Massachusetts,13140,45888520,2,4830,790
Cape Cod Community College,Massachusetts,5520,29959381,1,4657,579
Catherine Hinds Institute of Esthetics,Massachusetts,,2457874,3,174,18
Laboure College,Massachusetts,22943,7731255,2,669,117
Clark University,Massachusetts,34900,145781708,2,3416,1030
Conway School of Landscape Design,Massachusetts,,729043,2,19,7
Curry College,Massachusetts,28000,76129179,2,3125,723
Lincoln Technical Institute,Massachusetts,,6550430,3,859,69
Dean College,Massachusetts,28020,29528358,2,1113,280
Diman Regional Technical Institute,Massachusetts,,512421,1,83,13
National Aviation Academy of New England,Massachusetts,,3355190,3,178,28
Eastern Nazarene College,Massachusetts,21280,21510624,2,1075,280
Emerson College,Massachusetts,29408,134979426,2,4556,877
Emmanuel College,Massachusetts,29200,59788600,2,2454,391
Endicott College,Massachusetts,24976,76326458,2,4136,602
Episcopal Divinity School,Massachusetts,,8742921,2,91,33
Rob Roy Academy-Fall River,Massachusetts,,992465,3,148,21
Fisher College,Massachusetts,22500,17618892,2,1593,169
Fitchburg State College,Massachusetts,7050,77803757,1,7043,827
Framingham State College,Massachusetts,7050,66069172,1,5989,532
Benjamin Franklin Institute of Technology,Massachusetts,13950,8415194,2,594,105
Gordon College,Massachusetts,27152,52842223,2,1685,510
Gordon-Conwell Theological Seminary,Massachusetts,,23437580,2,1892,189
Greenfield Community College,Massachusetts,6744,23332921,1,2546,334
Hallmark Institute of Photography,Massachusetts,,5717524,3,164,35
Hampshire College,Massachusetts,39112,52407129,2,1463,431
Harvard University,Massachusetts,33696,5348051000,2,27651,18075
Hebrew College,Massachusetts,21850,9489179,2,252,129
Hellenic College-Holy Cross Greek Orthodox School of Theology,Massachusetts,18400,11664464,2,203,84
Henris School of Hair Design,Massachusetts,,523056,3,49,6
College of the Holy Cross,Massachusetts,38180,177409546,2,2932,1147
Holyoke Community College,Massachusetts,7848,52775126,1,7473,988
Gibbs College-Boston,Massachusetts,8730,2061618,3,158,30
Kay Harvey Academy of Hair Design,Massachusetts,,481575,3,108,8
La Baron Hairdressing Academy,Massachusetts,,387535,3,104,8
La Baron Hairdressing Academy,Massachusetts,,581229,3,60,7
Lasell College,Massachusetts,24300,45620347,2,1672,407
Lawrence Memorial Hospital School of Nursing,Massachusetts,24222,3372771,2,357,71
Lesley University,Massachusetts,28150,110244252,2,6173,648
Longy School of Music,Massachusetts,28000,6908259,2,243,216
Lowell Academy Hairstyling Institute,Massachusetts,,921999,3,67,11
Mansfield Beauty Schools,Massachusetts,,972658,3,116,23
Marian Court College,Massachusetts,14250,3260885,2,230,40
University of Massachusetts-Boston,Massachusetts,9758,2654223684,1,65923,19965
Massachusetts Bay Community College,Massachusetts,5520,43229277,1,5456,585
Massachusetts College of Pharmacy and Health Sciences,Massachusetts,23800,135740323,2,4252,441
Massachusetts College of Art and Design,Massachusetts,24400,52335778,1,2422,572
Massachusetts Institute of Technology,Massachusetts,37510,3071182000,2,10384,14101
Massachusetts Maritime Academy,Massachusetts,13881,43571608,1,1292,468
Massachusetts School of Professional Psychology,Massachusetts,,12143917,2,448,150
Massachusetts School of Barbering,Massachusetts,,612268,3,81,7
Massasoit Community College,Massachusetts,5520,51643625,1,7941,998
Merrimack College,Massachusetts,29310,60268660,2,2090,544
MGH Institute of Health Professions,Massachusetts,12500,27943000,2,900,197
Middlesex Community College,Massachusetts,5520,66969031,1,9516,1141
Montserrat College of Art,Massachusetts,23140,9329972,2,339,108
Mount Holyoke College,Massachusetts,38940,150390216,2,2304,1004
Mount Ida College,Massachusetts,23100,36634305,2,1487,355
Mount Wachusett Community College,Massachusetts,5520,43202044,1,4761,654
Cortiva Institute-Boston,Massachusetts,,2836469,3,264,44
School of the Museum of Fine Arts-Boston,Massachusetts,29540,17341900,2,754,249
Everest Institute-Brighton,Massachusetts,,7581374,3,700,57
Rob Roy Academy-New Bedford,Massachusetts,,208006,3,23,4
The New England Conservatory of Music,Massachusetts,32900,40872607,2,785,347
New England College of Optometry,Massachusetts,,22542608,2,467,169
New England School of Acupuncture,Massachusetts,,4702489,2,208,126
New England Law-Boston,Massachusetts,,31345994,2,1096,208
New England School of Photography,Massachusetts,20900,3083864,3,119,60
Newbury College-Brookline,Massachusetts,22400,18073032,2,994,175
Nichols College,Massachusetts,27740,33620090,2,1552,253
Massachusetts College of Liberal Arts,Massachusetts,9975,40909743,1,1962,386
North Bennet Street School,Massachusetts,,4415936,2,144,34
North Shore Community College,Massachusetts,6168,57309118,1,7968,931
The New England Institute of Art,Massachusetts,22500,45671161,3,1614,317
Northeastern University,Massachusetts,34950,799935126,2,27537,4818
Northern Essex Community College,Massachusetts,6384,46839096,1,7385,857
College of Our Lady of the Elms,Massachusetts,24788,23215431,2,1260,304
Pine Manor College,Massachusetts,20189,14766505,2,484,200
Blessed John XXIII National Seminary,Massachusetts,,3229514,2,56,47
Quincy College,Massachusetts,3960,19264650,1,4361,411
Quinsigamond Community College,Massachusetts,5520,60160289,1,8349,996
Kaplan Career Institute,Massachusetts,,8296561,3,619,59
Regis College,Massachusetts,28900,32595135,2,1586,441
Roxbury Community College,Massachusetts,5928,26314349,1,2749,411
Saint John's Seminary,Massachusetts,13750,5215535,2,145,51
Salem State College,Massachusetts,7050,119459235,1,10125,1365
Salter College-West Boylston,Massachusetts,,19075922,3,2876,225
Simmons College,Massachusetts,30520,125116339,2,5003,968
Bard College at Simon's Rock,Massachusetts,39375,20237453,2,431,246
Smith College,Massachusetts,37510,326887090,2,3121,1338
Southeastern Technical Institute,Massachusetts,,3756761,1,119,33
Springfield College,Massachusetts,26060,96689824,2,5107,1289
Springfield Technical Community College,Massachusetts,7260,65092228,1,6782,766
Stonehill College,Massachusetts,31210,97877976,2,2468,669
Suffolk University,Massachusetts,27100,246372501,2,9148,1586
Rob Roy Academy-Taunton,Massachusetts,,347378,3,73,9
Tufts University,Massachusetts,39432,801191449,2,10252,5468
Wellesley College,Massachusetts,37826,230713000,2,2324,1153
Wentworth Institute of Technology,Massachusetts,21800,93552925,2,3808,603
Western New England College,Massachusetts,26822,97144054,2,3710,792
Westfield State College,Massachusetts,7050,87662022,1,5675,980
Wheaton College,Massachusetts,39565,82359065,2,1632,577
Wheelock College,Massachusetts,27150,34611687,2,1055,312
Williams College,Massachusetts,39250,268052069,2,2141,1128
Worcester Polytechnic Institute,Massachusetts,38360,191059000,2,4961,1192
Worcester State College,Massachusetts,7050,71766875,1,5473,688
Fiser's College of Cosmetology,Michigan,,217239,3,8,8
Adrian College,Michigan,24140,34823394,2,1608,353
Albion College,Michigan,29488,60006488,2,1738,535
Hillsdale Beauty College,Michigan,9000,223252,3,65,5
Northwestern Technological Institute,Michigan,,5985137,3,533,45
Alma College,Michigan,25838,43120066,2,1444,345
Alpena Community College,Michigan,5040,19647365,1,2077,253
Andrews University,Michigan,20520,97388059,2,3589,971
Aquinas College,Michigan,22314,38187971,2,2145,441
Baker College of Flint,Michigan,7020,237003874,2,43964,3861
Bay de Noc Community College,Michigan,5127,20433642,1,2742,299
Bayshire Academy of Beauty Craft Inc,Michigan,,643999,3,51,8
Calvin College,Michigan,23810,129336718,2,4092,917
Calvin Theological Seminary,Michigan,,9319761,2,251,53
Carnegie Institute,Michigan,9595,3373732,3,395,48
Michigan School of Professional Psychology,Michigan,,2780291,2,114,35
Central Michigan University,Michigan,23670,406196040,1,27247,3523
Mott Community College,Michigan,4061,103712840,1,12151,915
Empire Beauty School-Michigan,Michigan,,5338296,3,479,44
Cleary University,Michigan,15600,10513521,2,774,204
Concordia University-Ann Arbor,Michigan,20390,10233388,2,757,213
Cranbrook Academy of Art,Michigan,,9119965,2,157,31
College for Creative Studies,Michigan,28650,59075967,2,1405,407
Davenport University,Michigan,11016,119040944,2,11507,598
David Pressley School of Cosmetology,Michigan,,2153559,3,270,20
Delta College,Michigan,5160,88725426,1,11354,1006
Detroit Business Institute-Downriver,Michigan,8820,1932526,3,278,27
Michigan State University College of Law,Michigan,,25244861,2,964,202
Michigan Institute of Aviation and Technology,Michigan,10200,16231052,3,679,153
University of Detroit Mercy,Michigan,28920,135569143,2,5585,1267
Dorsey Business Schools,Michigan,14640,12227652,3,1669,206
Eastern Michigan University,Michigan,21053,310829392,1,22893,2968
Ferris State University,Michigan,16770,217405802,1,13865,2049
Flint Institute of Barbering Inc,Michigan,,344566,3,56,9
Glen Oaks Community College,Michigan,4896,18043758,1,1691,157
Kettering University,Michigan,27584,67758495,2,2410,460
Gogebic Community College,Michigan,4185,11328948,1,1162,148
Grace Bible College,Michigan,13400,4736876,2,194,36
Cornerstone University,Michigan,19960,34240905,2,2606,302
Everest Institute-Grand Rapids,Michigan,,14392404,3,1005,92
Grand Rapids Community College,Michigan,6432,150796672,1,16944,1267
Grand Valley State University,Michigan,12944,369902558,1,24408,2988
Great Lakes Christian College,Michigan,10800,3960048,2,233,53
Henry Ford Community College,Michigan,3240,113619419,1,17542,1303
Hope College,Michigan,25500,110843296,2,3230,782
ITT Technical Institute-Wyoming,Michigan,16848,16254713,3,932,141
Jackson Community College,Michigan,4368,55580154,1,7729,684
Wright Beauty Academy,Michigan,,421316,3,17,10
Kalamazoo College,Michigan,32643,56409312,2,1384,352
Kalamazoo Valley Community College,Michigan,4712,63206297,1,11999,1197
Kellogg Community College,Michigan,5077,48751111,1,5976,577
Kirtland Community College,Michigan,5265,19242035,1,1972,285
Michigan College of Beauty,Michigan,,1075876,3,198,19
Lake Michigan College,Michigan,4260,37639405,1,4688,556
Lake Superior State University,Michigan,16368,44936755,1,2588,441
Lansing Community College,Michigan,6030,138247876,1,21123,2701
Lawrence Technological University,Michigan,22638,59265578,2,4488,650
M J Murphy Beauty College of Mount Pleasant,Michigan,,787589,3,91,18
Macomb Community College,Michigan,4433,140761082,1,24376,2150
Madonna University,Michigan,13050,42577439,2,4211,586
Marygrove College,Michigan,16000,27995527,2,2909,219
Rochester College,Michigan,15792,10873935,2,892,192
University of Michigan-Ann Arbor,Michigan,34748,5629823000,1,41674,24469
Michigan Barber School Inc,Michigan,,1525663,2,278,14
Michigan State University,Michigan,27311,1968632745,1,47071,14366
Michigan Technological University,Michigan,22770,208587000,1,7136,2171
University of Michigan-Dearborn,Michigan,18488,110467000,1,8379,1015
University of Michigan-Flint,Michigan,14946,98053000,1,7773,1004
