instname,state,tuition,revenue,control,total_enrollment,all_employees,LONGITUD,LATITUDE
Alabama A & M University,Alabama,3864,78209196,1,5497,918,-86.57352,34.78422
Athens State University,Alabama,4672,15770348,1,2790,264,-86.967621,34.805512
University of North Alabama,Alabama,4464,42888742,1,5805,664,-87.67976,34.8072
Heritage Christian University,Alabama,4296,2809767,2,146,47,-87.660709,34.860679
Alaska Vocational Technical Center,Alaska,,5501561,1,201,,-149.443826,60.110502
ALASKA CHRISTIAN COLLEGE,Alaska,5304,,2,25,,-151.135554,60.488047
Prince William Sound Community College,Alaska,1920,3670694,1,745,67,-146.357096,61.133085
Career Academy,Alaska,,1739784,3,131,,-149.855683,61.180849
Alaska Pacific University,Alaska,11952,10887642.19,2,556,178,-149.814307,61.189535
Charter College,Alaska,6974,4702079,3,433,61,-149.83999,61.195436
ALASKA BIBLE COLLEGE,Alaska,4650,1642931,2,37,1,-145.52624,62.11296
University of Alaska Fairbanks,Alaska,7155,376624353,1,24942,4684,-147.82475,64.857053
Ilisagvik College,Alaska,1776,12029627,1,401,,-156.678996,71.324711
Cochise College,Arizona,3792,24166598.38,1,4000,676,-109.668765,31.361359
Tohono O'Odham Community College,Arizona,5064,3856450,2,181,44,-111.5676,32.02886
HDS Truck Driving Institute,Arizona,,789152,3,,,-110.857898,32.1395
Desert Institute of the Healing Arts,Arizona,,1417396,3,128,,-110.856548,32.220975
Tucson College,Arizona,,1360323,3,223,,-110.883209,32.22176
Pima Community College,Arizona,4200,96428323,1,30548,2202,-110.985014,32.226881
University of Arizona,Arizona,7152,904645001,1,34326,13191,-110.950875,32.232112
Arizona Academy of Beauty Inc,Arizona,,456491,3,55,,-110.871281,32.236258
Chaparral College,Arizona,6375,4883813,3,383,65,-110.895053,32.236286
Pima Medical Institute,Arizona,5390,12286421,3,1454,237,-110.921331,32.250463
Tucson Design College,Arizona,8880,985399,3,99,,-110.884553,32.250734
The Art Center Design College-Tucson,Arizona,10000,6569275,3,636,22,-110.926828,32.252507
Arizona School of Acupuncture and Oriental Medicine,Arizona,,538686,3,36,0,-110.893274,32.261499
Tucson College of Beauty,Arizona,,465378,3,44,,-110.994967,32.278779
Arizona Academy of Beauty-North,Arizona,,474775,3,70,,-110.978016,32.280655
Artistic Beauty Colleges-Tucson North,Arizona,,1575769,3,126,0,-110.978272,32.285713
ITT Technical Institute,Arizona,8073,2895385.53,3,192,29,-110.997501,32.297261
Arizona Western College,Arizona,4848,25352291,1,6321,820,-114.49618,32.69022
Hair Academy of Safford,Arizona,,1125498,3,17,,-109.727248,32.834978
Eastern Arizona College,Arizona,4852,20834953,1,6230,515,-109.763017,32.84242
Turning Point Beauty College,Arizona,,288429,3,22,,-111.734793,32.879579
Central Arizona College,Arizona,5488,25795016,1,4560,665,-111.652297,32.95582
International Baptist College,Arizona,4200,374496,2,,,-111.885255,33.27593
Chandler/Gilbert Community College,Arizona,4248,18462041,1,5513,167,-111.796153,33.291947
Studio Academy of Beauty,Arizona,,983666,3,68,13,-111.859111,33.314403
Lamson College,Arizona,,1349752,3,137,30,-111.95313,33.349029
International Academy of Hair Design,Arizona,,273654,3,79,,-111.841802,33.354361
Pima Medical Institute,Arizona,,2575260,3,547,22,-111.687927,33.376399
Earls Academy of Beauty,Arizona,,529068,3,92,,-111.859667,33.376506
University of Advancing Technology,Arizona,9240,12577440,3,924,134,-111.976177,33.378133
ITT Technical Institute,Arizona,8073,4242618,3,369,42,-111.969736,33.380254
South Mountain Community College,Arizona,4248,13176915.32,1,3091,124,-112.030256,33.382544
Carsten Institute,Arizona,,1327336,3,108,,-111.926358,33.391371
Mesa Community College,Arizona,4248,68298137,1,22295,448,-111.871413,33.392945
Collins College,Arizona,8640,16561671,3,1577,197,-111.98646,33.40334
Conservatory of Recording Arts and Sciences,Arizona,,2744650,3,221,,-111.889588,33.407568
Southwest College of Naturopathic Medicine & Health Sciences,Arizona,,5325958,2,243,56,-111.894685,33.407608
Roberto-Venn School of Luthiery,Arizona,,544873,3,33,,-112.047076,33.410024
University of Phoenix-Phoenix-Hohokam Campus,Arizona,5760,68093390,3,10044,1826,-111.979941,33.413016
Rio Salado College,Arizona,4248,37756327,1,9346,166,-111.974354,33.413592
Maricopa Community College System Office,Arizona,,56456584,1,,,-111.97543,33.413592
East Valley Institute of Technology,Arizona,,289467,1,64,,-111.865465,33.414755
Southwest Institute of Healing Arts,Arizona,,2451490,3,1804,83,-111.922327,33.414824
Arizona State University at the Tempe Campus,Arizona,9340,634253008,1,44215,9434,-111.932128,33.417515
University of Phoenix-Online Campus,Arizona,9312,101339550,3,10382,524,-112.013518,33.41779
Maricopa Beauty College,Arizona,,329297,3,51,,-112.355232,33.435281
American Institute of Technology,Arizona,,2183779,3,126,,-112.175284,33.442432
Refrigeration School Inc,Arizona,,1893797,3,223,34,-111.989439,33.448254
Gateway Community College,Arizona,4248,27196384,1,8801,176,-111.995403,33.449261
Universal Technical Institute of Arizona Inc,Arizona,,39281079,3,3349,,-112.289712,33.453494
Artistic Beauty Colleges-Phoenix North Central,Arizona,,843015,3,77,0,-112.274058,33.464566
Phoenix Therapeutic Massage College,Arizona,,721326,3,109,,-111.908192,33.46588
Arizona Board of Regents,Arizona,,17427857,1,,,-112.07389,33.470211
Estrella Mountain Community College,Arizona,4248,11364654,1,4304,110,-112.341089,33.480161
Phoenix College,Arizona,4248,36110637.6,1,10984,308,-112.088334,33.480476
Phoenix School of Law,Arizona,,7662750,3,335,,-112.073711,33.49399
High-Tech Institute-Phoenix,Arizona,10380,33780985,3,2030,184,-112.050333,33.4947
Scottsdale Culinary Institute,Arizona,,10327372,3,,60,-111.905936,33.502186
Toni & Guy Hairdressing Academy,Arizona,,702269,3,74,,-111.925323,33.50225
Grand Canyon University,Arizona,7680,,3,2991,232,-112.129876,33.509446
Scottsdale Community College,Arizona,4248,32298292,1,10074,274,-111.887308,33.509531
Phoenix Institute of Herbal Medicine & Acupuncture,Arizona,,933034,3,89,,-112.06875,33.523768
Apollo College-Phoenix Inc,Arizona,,7563556,3,858,88,-112.116921,33.561821
Arizona College of Allied Health,Arizona,,254887,3,41,,-112.154308,33.567457
Glendale Community College,Arizona,4248,47034236,1,19131,402,-112.188466,33.567524
The Art Institute of Phoenix,Arizona,11904,11457871,3,891,114,-112.106998,33.567555
Argosy University-Phoenix Campus,Arizona,,2266443,3,,,-112.106998,33.567555
Argosy University-Phoenix Online Division,Arizona,18360,106498076,3,6185,588,-112.106998,33.567555
International Institute of the Americas,Arizona,6895,17269055,2,854,258,-112.112382,33.56756
DeVry University-Arizona,Arizona,7778,40421379,3,3706,343,-112.104979,33.567573
Chamberlain College of Nursing_hoenix Campus,Arizona,14280,5034432,3,242,37,-112.104979,33.567573
Western International University,Arizona,6690,7780121,3,1499,255,-112.116846,33.570542
American Indian College of the Assemblies of God Inc,Arizona,3750,1402398,2,76,36,-112.091236,33.577578
ITT Technical Institute_hoenix,Arizona,16056,975705,3,126,32,-112.113507,33.578803
Everest College,Arizona,,105230,3,314,34,-112.113531,33.580955
The Bryman School,Arizona,,15450152,3,1163,104,-112.10719,33.581991
Arizona Culinary Institute,Arizona,24990,4233787,3,153,,-111.834921,33.582023
Southwestern College,Arizona,7500,2676302,2,258,26,-112.026037,33.596721
Artistic Beauty Colleges-Scottsdale,Arizona,,4194322,3,533,,-111.978446,33.602489
AMERICAN INSTITUTE OF INTERIOR DESIGN,Arizona,,,3,,,-111.714769,33.604791
Brown Mackie College-Phoenix,Arizona,9000,4566618,3,216,32,-112.119407,33.605228
FRANK LLOYD WRIGHT SCHOOL OF ARCHITECTURE,Arizona,,,2,,,-111.846477,33.60715
Long Technical College,Arizona,15520,1794648.16,3,221,34,-112.117258,33.609028
Thunderbird-The Garvin School of International Management,Arizona,,66055218,2,1541,400,-112.182574,33.622947
Paradise Valley Community College,Arizona,4248,18686920.68,1,6483,165,-112.01356,33.651966
Midwestern University,Arizona,12000,23016000.12,2,810,173,-112.186532,33.664371
Universal Technical Institute-Motorcycle Mechanics,Arizona,,10871000,3,740,,-112.121476,33.683844
Charles of Italy Beauty College,Arizona,,186686,3,59,,-114.328115,34.475229
Modern Techniques Beauty College,Arizona,,,3,27,3,-114.340567,34.496134
Prescott College,Arizona,12350,9896076,2,934,164,-112.47627,34.544783
Yavapai College,Arizona,5806,32166941,1,6772,312,-112.457119,34.545361
Northcentral University,Arizona,9000,4627403,3,1403,49,-112.300687,34.598166
Northland Pioneer College,Arizona,4640,16615009,1,3886,428,-110.132719,34.936766
Coconino County Community College,Arizona,4350,10298670,1,2701,100,-111.648134,35.170102
Northern Arizona University,Arizona,8304,235434777,1,19981,3396,-111.65582,35.19398
College America,Arizona,,217555,3,35,,-111.606672,35.209765
Mohave Community College,Arizona,3836,15862453,1,5918,496,-114.022914,35.268508
Dine College,Arizona,600,18801185,1,1881,423,-109.21009,36.301684
Crossett School of Cosmetology,Arkansas,,105612,3,24,0,-91.960171,33.135013
South Arkansas Community College,Arkansas,2328,9096439.88,1,1173,165,-92.665579,33.210435
Professional Cosmetology Education Center,Arkansas,,201051,3,,,-92.663857,33.215807
Lynndale Fundamentals of Beauty School,Arkansas,,136126,1,33,,-92.644888,33.224341
Southern Arkansas University Main Campus,Arkansas,3240,24966056,1,2871,295,-93.2353,33.288656
Southern Arkansas University Tech,Arkansas,1320,9047141,1,788,132,-92.82958,33.58698
University of Arkansas at Monticello,Arkansas,4860,20929013,1,2254,303,-91.80068,33.59223
Margarets Hair Academy Inc,Arkansas,,99991,3,,,-91.788227,33.628754
University of Arkansas Community College-Hope,Arkansas,2064,8311415,1,1235,146,-93.58713,33.64641
Cossatot Community College of the University of Arkansas,Arkansas,3600,5690174,1,819,174,-94.366883,34.044332
Arkadelphia Beauty College,Arkansas,,202476,3,23,,-93.08187,34.12268
Ouachita Baptist University,Arkansas,8850,39965276.77,2,1638,292,-93.05137,34.124607
Henderson State University,Arkansas,4560,30851983,1,3500,537,-93.059794,34.125583
Jefferson School of Nursing,Arkansas,1663,372376,2,124,,-92.018188,34.189017
De Luxe Beauty School,Arkansas,,320099,3,25,,-92.018492,34.203384
Southeast Arkansas College,Arkansas,1800,7163459.34,1,1789,142,-92.024776,34.209797
University of Arkansas at Pine Bluff,Arkansas,4760,44415776,1,3040,628,-92.019062,34.242231
Ouachita Technical College,Arkansas,2736,5322928,1,896,138,-92.81295,34.36231
Hot Springs Beauty College,Arkansas,,874258,3,51,,-93.038379,34.496247
National Park Community College,Arkansas,2760,10377586,1,2192,181,-93.119307,34.513294
Phillips Community College of the University of Arkansas,Arkansas,2040,14431907,1,1871,273,-90.6184,34.5458
Rich Mountain Community College,Arkansas,3312,5483470,1,846,66,-94.218089,34.590187
Arkansas Beauty School,Arkansas,,154549,3,27,,-92.334962,34.668785
Washington Barber College Inc,Arkansas,,189154,3,27,3,-92.335292,34.690476
Remington College-Little Rock Campus,Arkansas,16844,3511523,3,515,,-92.396819,34.707817
ITT Technical Institute,Arkansas,8073,2634589,3,215,28,-92.343375,34.711961
Baptist Health Schools of Nursing and Allied Health,Arkansas,7990,1394829,2,548,,-92.40547,34.712269
University of Arkansas at Little Rock,Arkansas,6240,106410409,1,,,-92.341778,34.72685
Velvatex College of Beauty Culture,Arkansas,,55370,3,21,,-92.289685,34.730722
Arkansas Baptist College,Arkansas,2200,2218045.58,2,157,68,-92.289393,34.735262
Philander Smith College,Arkansas,3360,13699393,2,932,141,-92.28242,34.73666
University of Phoenix-Little Rock Campus,Arkansas,8970,771365,3,,,-92.394479,34.748626
Eastern College of Health Vocations,Arkansas,,6151110,3,488,,-92.341312,34.751221
University of Arkansas for Medical Sciences,Arkansas,6360,479583011,1,1861,7122,-92.320992,34.75153
Arkansas College of Barbering and Hair Design,Arkansas,,269950,3,49,,-92.266583,34.754023
New Tyler Barber College Inc,Arkansas,,73963,3,51,,-92.253611,34.759745
Heritage College,Arkansas,,1136256,3,177,46,-92.38444,34.764262
Bee Jays Academy,Arkansas,,246288,3,26,,-92.405875,34.769604
Lees School of Cosmetology,Arkansas,,361968,3,32,,-92.296459,34.782806
Pulaski Technical College,Arkansas,2400,11867463.08,1,4112,287,-92.298867,34.785194
Eaton Beauty Stylist College Inc,Arkansas,,52227,3,13,,-92.22215,34.789458
Arthur's Beauty College Inc,Arkansas,,255579,3,46,,-92.103665,34.891119
Crowleys Ridge Technical Institute,Arkansas,900,3972651,1,394,,-90.77586,35.02685
East Arkansas Community College,Arkansas,1140,8023149,1,1176,163,-90.775976,35.028127
Arkansas State University-Beebe,Arkansas,2280,18387298,1,3186,370,-91.894579,35.070224
University of Central Arkansas,Arkansas,5422,80570721,1,8739,1097,-92.454235,35.079315
Central Baptist College,Arkansas,5424,3102356,2,321,55,-92.509599,35.089094
Arkansas Beauty School,Arkansas,,80676,3,22,,-92.439972,35.092959
Hendrix College,Arkansas,11440,34253552,2,1147,257,-92.444187,35.100058
