instname,state,tuition,revenue,control,total_enrollment,all_employees,LONGITUD,LATITUDE
Cuttin' Up Beauty Academy,Colorado,,353277,3,40,,-104.893753,39.740203
Metropolitan State College of Denver,Colorado,7039,93437498,1,17716,1475,-104.998911,39.740212
Emily Griffith Opportunity School,Colorado,,11766444,1,6317,,-104.995519,39.74128
Colorado School of Trades,Colorado,,1005903,3,86,16,-105.103695,39.741841
Yeshiva Toras Chaim Talmudical Seminary,Colorado,6000,571958,2,22,,-105.042821,39.741947
Rocky Mountain College of Art and Design,Colorado,10320,4973235,3,397,84,-105.072037,39.742711
Colorado State University System Office,Colorado,,3149124,1,,0,-104.988532,39.744169
University of Colorado System Office,Colorado,,119436272,1,,340,-104.983576,39.745386
HealthONE-School of Medical Technology,Colorado,3850,19221164,2,,,-104.966942,39.746143
Colorado School of Mines,Colorado,14716,82419725,1,3717,772,-105.222215,39.751174
Denver School of Nursing,Colorado,12546,7892000,3,408,91,-104.994651,39.752753
Heritage College,Colorado,,2105635,3,97,,-105.059322,39.78303
Regis University,Colorado,16500,60219558,2,8532,1677,-105.030184,39.787524
National Beauty College,Colorado,,400164,3,81,6,-105.006247,39.824318
Westwood College-Denver North,Colorado,13422,13147385,3,,73,-104.987319,39.83019
Denver Career College,Colorado,,4893652,3,221,40,-104.980292,39.848911
ITT Technical Institute,Colorado,8073,4316905,3,337,37,-104.979372,39.848981
Denver Academy of Court Reporting-Main Campus,Colorado,,863926,3,99,,-105.06392,39.859995
Parks College,Colorado,9360,3491503,3,596,,-104.982818,39.86128
Front Range Community College,Colorado,6403,48996019,1,12483,1147,-105.03804,39.899731
Redstone College,Colorado,8823,8334703,3,648,86,-105.118435,39.914098
DeVry University-Colorado,Colorado,9400,9193449,3,269,324,-105.00791,39.919281
Culinary School of the Rockies,Colorado,,1547137,3,40,18,-105.249071,39.984412
Institute of Taoist Education and Acupuncture,Colorado,,723820,2,39,21,-105.144882,39.987077
University of Colorado at Boulder,Colorado,15224,646756819,1,28851,7771,-105.267698,40.003487
Naropa University,Colorado,12300,10404643,2,986,152,-105.267311,40.014555
Montessori Education Center of the Rockies,Colorado,,297429,2,,,-105.241315,40.019184
Boulder College of Massage Therapy,Colorado,,2685454,2,238,,-105.208103,40.064253
Colorado Northwestern Community College,Colorado,6949,10498390,1,1560,193,-108.786573,40.083861
Morgan Community College,Colorado,6403,7339059,1,1675,217,-103.77267,40.26543
Aims Community College,Colorado,4752,31492939,1,7193,859,-104.768403,40.406971
University of Northern Colorado,Colorado,8997,126023595,1,12163,1739,-104.68575,40.40755
Academy of Natural Therapy,Colorado,,456570,3,51,,-104.668812,40.425601
Hair Dynamics Education Center,Colorado,,617049,3,,,-105.077388,40.496708
College America-Fort Collins,Colorado,14975,3456389,3,178,36,-105.079058,40.523517
Institute of Business and Medical Careers,Colorado,,1687398,3,242,46,-105.079547,40.534068
Colorado State University,Colorado,10026,483187105,1,27036,10358,-105.08325,40.57477
Northeastern Junior College,Colorado,5127,14058370,1,4217,259,-103.19748,40.636854
Bais Binyomin Academy,Connecticut,4600,1521089,2,65,12,-73.534404,41.059768
St Basils College,Connecticut,10000,,2,58,,-73.526238,41.06084
J M Wright Regional Vocational Technical School,Connecticut,,,1,,,-73.550596,41.065478
University of Phoenix-Fairfield County Campus,Connecticut,13350,1005000,3,26,,-73.444769,41.097709
Norwalk Community College,Connecticut,5232,29061730,1,5220,,-73.451484,41.102167
Renasci Academy of Hair Inc,Connecticut,,53810,3,,,-73.41348,41.1176
Connecticut Center for Massage Therapy-Westport,Connecticut,,845759,3,109,,-73.368718,41.133208
Fairfield University,Connecticut,20000,115026122,2,5127,958,-73.252823,41.15872
University of Bridgeport,Connecticut,13800,35584000,2,2686,580,-73.190377,41.164191
Porter and Chester Institute,Connecticut,,11678416,3,760,,-73.149397,41.169315
Housatonic Community College,Connecticut,6240,17440293,1,3829,301,-73.192124,41.175264
Butler Business School Inc,Connecticut,,1733302,3,172,,-73.221326,41.176652
The Leon Institute of Hair Design,Connecticut,,63440,3,,,-73.188618,41.178318
Bridgeport Hospital School of Nursing,Connecticut,6087,718338,2,142,,-73.165441,41.188982
St Vincent's College,Connecticut,8432,3723494,2,210,25,-73.202705,41.200525
Bullard-Havens Regional Vocational Technical Sch,Connecticut,,,1,,,-73.165234,41.200969
Sacred Heart University,Connecticut,14670,61819053,2,5528,633,-73.240838,41.222675
Platt Regional Vocational Technical School,Connecticut,,,1,,,-73.044163,41.251304
Connecticut School of Electronics,Connecticut,,1261166,3,,,-72.854877,41.277968
Branford Hall Career Institute-Branford Campus,Connecticut,,10871060,3,816,,-72.848196,41.279282
Gateway Community College,Connecticut,5232,20880592,1,4151,474,-72.927492,41.285943
Branford Academy of Hair & Cosmetology,Connecticut,,528565,3,37,6,-72.80329,41.289942
University of New Haven,Connecticut,14250,45300797,2,4463,591,-72.961392,41.29244
Yale-New Haven Hospital Dietetic Internship,Connecticut,,8930,2,12,,-72.934432,41.304362
Yale University,Connecticut,24500,4227077120,2,11029,10446,-72.9287,41.3083
Lyme Academy College of Fine Arts,Connecticut,10500,3873752,2,171,37,-72.327801,41.323064
Brio Academy of Cosmetology-Niantic,Connecticut,,558709,3,105,0,-72.192971,41.325765
Mitchell College,Connecticut,14100,9571180,2,590,214,-72.093191,41.329035
Southern Connecticut State University,Connecticut,6874,105596411,1,11551,1400,-72.946995,41.33103
Albertus Magnus College,Connecticut,13908,17527082,2,1964,224,-72.921188,41.331263
Emmett O'Brien Regional Vocational Technical Sch,Connecticut,,,1,,,-73.064237,41.334266
Eli Whitney Regional Vocational Technical School,Connecticut,,,1,,,-72.94363,41.343185
Ella T Grasso Southeastern Vocational Techn School,Connecticut,,,1,,,-72.014375,41.345652
Connecticut Center for Massage Therapy-Groton,Connecticut,,231265,3,66,,-72.042521,41.346736
Paier College of Art Inc,Connecticut,10500,2043478,3,276,64,-72.935139,41.347951
Stone Academy,Connecticut,8322,1767841,3,1040,,-72.932221,41.349259
Ridley Lowell Business and Technical Institute,Connecticut,,953844,3,111,,-72.100416,41.350328
United States Coast Guard Academy,Connecticut,0,7951868,1,838,,-72.102082,41.3739
Connecticut College,Connecticut,30595,95502786,2,1820,849,-72.103668,41.37819
American Academy of Cosmetology,Connecticut,,341072,3,52,,-73.441721,41.387577
Northhaven Academy,Connecticut,,701516,3,105,,-72.857013,41.394319
Oxford Academy of Hair Design,Connecticut,,319757,3,39,11,-73.086139,41.396621
Western Connecticut State University,Connecticut,6674,56067157,1,5589,710,-73.4441,41.399439
Henry Abbott Regional Vocational Technical School,Connecticut,,,1,,,-73.453997,41.412798
Quinnipiac University,Connecticut,16120,108045761,2,6047,1221,-72.85634,41.42979
Academy Di Capelli-School of Cosmetology,Connecticut,,385150,3,28,,-72.807614,41.491231
Three Rivers Community College,Connecticut,5232,18177568,1,3573,312,-72.104469,41.509872
Brio Academy of Cosmetology,Connecticut,,253562,3,51,,-72.761891,41.525395
H C Wilcox Regional Vocational Technical High Sch,Connecticut,,,1,,,-72.833917,41.525984
Vinal Regional Vocational-Technical School,Connecticut,,,1,,,-72.674354,41.527432
Post University,Connecticut,13125,,3,1422,144,-73.079679,41.536234
Middlesex Community College,Connecticut,5232,11541502,1,2317,104,-72.610736,41.537559
Naugatuck Valley Community College,Connecticut,5232,31313884,1,4864,547,-73.071425,41.547178
Norwich Regional Vocational Technical School,Connecticut,,,1,,,-72.077022,41.549192
Industrial Management Training Institute,Connecticut,,834749,3,56,,-73.0363,41.54936
Connecticut Institute of Hair Design,Connecticut,,250131,3,12,,-72.962991,41.554675
Wesleyan University,Connecticut,24330,178157000,2,3200,889,-72.655529,41.559329
W F Kaynor Regional Voc Tech Sch Adult Program,Connecticut,,,1,,,-73.065655,41.574693
Holy Apostles College and Seminary,Connecticut,7520,2455440,2,189,66,-72.646936,41.607788
Briarwood College,Connecticut,11100,3680011,3,627,133,-72.921731,41.631097
New England Technical Institute of Connecticut Inc,Connecticut,,5700271,3,,,-72.75393,41.659422
Connecticut Center for Massage Therapy-Newington,Connecticut,,2421054,3,285,,-72.710018,41.68512
E C Goodwin Regional Vocational Technical School,Connecticut,,,1,,,-72.807137,41.686977
Charter Oak State College,Connecticut,,3199037,1,1429,,-72.768172,41.688275
Central Connecticut State University,Connecticut,6674,111889095,1,11903,1566,-72.771321,41.692321
Tunxis Community College,Connecticut,5438,17956107,1,3455,326,-72.878295,41.706714
Eastern Connecticut State University,Connecticut,6674,58344620.59,1,4987,789,-72.218913,41.714664
Windham Memorial Hospital-Radiologic Technology Program,Connecticut,,130757,2,17,,-72.224033,41.716678
Windham Regional Vocational Technical School,Connecticut,,,1,,,-72.22089,41.719228
Fox Institute of Business,Connecticut,,2316912,3,174,,-72.724789,41.726307
Gibbs College,Connecticut,,5154864,3,927,77,-72.795559,41.73539
Albert I Prince Regional Vocational Technical Sch,Connecticut,,,1,,,-72.707779,41.74203
Trinity College,Connecticut,23730,120262812,2,2371,712,-72.69313,41.747987
Manchester Community College,Connecticut,5232,24793057,1,5192,483,-72.56702,41.76227
Connecticut Culinary Institute,Connecticut,,6766431,3,,,-72.693746,41.766672
Capital Community College,Connecticut,5232,19360189,1,2766,,-72.672926,41.768424
Hartford Seminary,Connecticut,,6690586,2,192,42,-72.707124,41.769292
Hartford School of Music,Connecticut,7800,932510,2,50,,-72.692448,41.769818
Connecticut Institute of Hair Design,Connecticut,,652647,3,149,,-72.642605,41.771088
Connecticut Training Centers Inc,Connecticut,,2982026,2,,,-72.641299,41.773354
Rensselaer Hartford Graduate Center Inc,Connecticut,,31912447,2,2048,158,-72.672589,41.77344
Saint Joseph College,Connecticut,15900,24530067,2,1740,445,-72.731542,41.778822
Howell Cheney Regional Vocational Technical School,Connecticut,,,1,,,-72.561637,41.780954
University of Hartford,Connecticut,17910,115287000,2,6882,1242,-72.716476,41.793831
University of Connecticut,Connecticut,12676,971488101,1,22739,9758,-72.252664,41.808711
Oliver Wolcott Regional Vocational Technical Sch,Connecticut,,,1,,,-73.111449,41.810163
Harvard H Ellis Regional Vocational Technical Sch,Connecticut,,,1,,,-71.892916,41.819752
Quinebaug Valley Community College,Connecticut,5232,7688336,1,1281,147,-71.89375,41.824932
Baran Institute of Technology,Connecticut,,6766431,3,502,,-72.592998,41.921324
Northwestern Connecticut Community College,Connecticut,5232,9627587,1,1698,219,-73.05997,41.92318
New England Tractor Trailer Training School of Connecticut,Connecticut,,4077032,3,160,,-72.448743,41.980636
Asnuntuck Community College,Connecticut,5232,8960222,1,1719,203,-72.570889,41.99988
International College of Hospitality Management,Connecticut,13000,,3,95,,-72.617053,42.025475
Connecticut Culinary Institute-Suffield,Connecticut,,2737031,3,178,0,-72.617053,42.025475
Delaware Learning Institute of Cosmetology,Delaware,,488312,3,83,,-75.25595,38.542256
Delaware Technical and Community College-Owens,Delaware,3600,24593373,1,3549,460,-75.39528,38.69785
Beebe Hospital School of Nursing,Delaware,3091,,2,35,,-75.142425,38.771333
Wesley College,Delaware,11314,20926994,2,1706,194,-75.526444,39.163232
Delaware State University,Delaware,7088,59110365,1,3159,640,-75.533802,39.184199
Delaware Technical and Community College-Terry,Delaware,3600,16609269,1,2046,342,-75.560738,39.197527
Delaware Technical and Community College-Central Office,Delaware,,6471153,1,,,-75.554163,39.198752
Academy of Massage and Bodywork,Delaware,,246353,3,42,8,-75.667579,39.628966
Wilmington College,Delaware,6060,34632319,2,4965,739,-75.620263,39.650101
University of Delaware,Delaware,12750,477349467,1,21206,5048,-75.751326,39.679028
Schilling-Douglas School of Hair Design,Delaware,,571554,3,77,,-75.756788,39.680687
Delaware Technical and Community College-Stanton-Wilmington,Delaware,3600,40777466,1,6935,887,-75.652399,39.694149
Goldey-Beacom College,Delaware,7800,12043360,2,1378,126,-75.689381,39.740195
Delaware College of Art and Design,Delaware,9250,1935192,2,137,51,-75.550181,39.742048
Dawn Training Centre,Delaware,,342917,3,74,,-75.594268,39.754694
Deep Muscle Therapy School,Delaware,,607323,3,58,,-75.522804,39.800203
Corcoran College of Art and Design,District of Columbia,14110,7285606,2,425,67,-77.039461,38.895781
University of Phoenix-Washington DC Campus,District of Columbia,12180,230230,3,13,,-77.00997,38.897901
George Washington University,District of Columbia,22925,717982497,2,20346,6207,-77.047734,38.90068
Technical Learning Centers,District of Columbia,,116695,3,39,,-77.04039,38.901302
Career Blazers Learning Center,District of Columbia,,2138779,3,,,-77.047692,38.90262
Strayer University-Washington Campus,District of Columbia,8100,71937023,3,10984,989,-77.034565,38.904779
Gallaudet University,District of Columbia,6870,92668024.25,2,1661,991,-76.996075,38.905334
Georgetown University,District of Columbia,23088,632990000,2,12498,8607,-77.071586,38.907663
National Conservatory of Dramatic Arts,District of Columbia,5000,181848,2,26,,-77.064725,38.910053
Institute of World Politics,District of Columbia,,4105585,2,123,43,-77.036517,38.910512
Howard University,District of Columbia,8925,658388561,2,9108,3584,-77.02117,38.923072
Trinity Washington University,District of Columbia,13875,21714091,2,1522,305,-77.005764,38.927246
Dudley Beauty College,District of Columbia,,953844,3,,,-76.975735,38.929168
Dominican House of Studies,District of Columbia,,317393,2,70,,-76.999459,38.931833
Bennett Career Institute,District of Columbia,,626584,3,140,,-76.995699,38.932375
Catholic University of America,District of Columbia,18200,117985234,2,5597,2091,-76.997755,38.932583
Pontifical John Paul II Institute for Studies on Marriage and Family,District of Columbia,,2054945,2,87,18,-76.997755,38.932583
American University,District of Columbia,20118,247969008,2,10894,4117,-77.086355,38.937921
Wesley Theological Seminary,District of Columbia,,13483784,2,430,74,-77.089712,38.940648
University of the District of Columbia,District of Columbia,4440,73284041,1,5349,46,-77.064161,38.945168
Potomac College,District of Columbia,10440,2110984,3,385,37,-77.079061,38.950688
Washington Theological Union,District of Columbia,,2737733,2,238,,-77.012959,38.973689
Florida Keys Community College,Florida,4710,8116259,1,1711,151,-81.744033,24.581406
Beauty Schools of America,Florida,,4249389,3,396,51,-80.445531,25.475844
Robert Morgan Educational Center,Florida,6956,1906643,1,882,,-80.389138,25.599147
FastTrain of Kendall,Florida,13200,2032537,3,147,37,-80.368486,25.672501
College of Business and Technology,Florida,,815346,3,115,,-80.45575,25.67819
Acupuncture and Massage College,Florida,,1050012,3,133,,-80.364606,25.686864
Medvance Institute-Miami,Florida,,2792927,3,221,44,-80.340339,25.702169
Professional Training Centers,Florida,,942143,3,,,-80.41949,25.723289
Miami-Dade County Public Schools-The English Center,Florida,,427622,1,1522,,-80.251606,25.73885
Saint John Vianney College Seminary,Florida,6900,2172682,2,60,32,-80.335832,25.742393
Mercy Hospital School of Practical Nursing,Florida,,249254,2,38,,-80.216614,25.74304
International Training Careers,Florida,,2618560,2,272,,-80.314729,25.747963
University of Miami,Florida,20960,1002584017,2,13715,8327,-80.26,25.75
Romanov Academy of Sports Science,Florida,,,3,17,4,-80.258781,25.755751
Florida Career College,Florida,5760,4077814,3,622,,-80.368072,25.756613
Hi-Tech School of Cosmetology,Florida,,969139,3,35,15,-80.368075,25.756807
Florida International University,Florida,9260,308194105,1,31293,2876,-80.377095,25.758022
Beauty Schools of America,Florida,,2307656,3,,,-80.303886,25.760773
Celebrity School of Beauty,Florida,,658347,3,64,9,-80.333474,25.761889
Florida Education Institute,Florida,,1065522,3,113,,-80.290673,25.763384
Praxis Institute,Florida,,404709,3,134,,-80.225456,25.765553
Universal Massage and Beauty Institute,Florida,,527705,3,153,0,-80.369459,25.768377
Technical Career Institute,Florida,5940,2390785,3,268,,-80.324262,25.769871
La Belle Beauty Academy,Florida,,907293,3,164,,-80.315352,25.769982
FastTrain of Miami,Florida,13200,825191,3,104,15,-80.285653,25.770895
New Concept Massage and Beauty School,Florida,,544660,3,81,,-80.2283,25.771458
New Professions Technical Institute,Florida,,292462,3,63,,-80.261922,25.771724
Saber,Florida,,2098357,2,205,,-80.261152,25.771746
Management Resources Institute,Florida,,825380,3,64,29,-80.263789,25.771784
Professional Hands Institute,Florida,6000,935549,3,135,25,-80.263742,25.771992
Miami Dade College,Florida,3690,232465017,1,47152,7522,-80.190377,25.77765
Dade Medical Institute,Florida,,1325896,3,147,,-80.256289,25.77899
Nouvelle Institute,Florida,,558312,3,,,-80.24943,25.779141
South Florida Institute of Technology,Florida,,13194,3,16,,-80.23943,25.780013
Miami Ad School,Florida,11200,2160418,3,169,,-80.140849,25.780264
Yeshivah Gedolah Rabbinical College,Florida,,139369,2,,,-80.141016,25.782422
ITT Technical Institute,Florida,8073,3838955,3,253,33,-80.325072,25.782743
Brown Mackie College-Miami,Florida,10992,1608932,3,136,0,-80.18601,25.78825
Ai Miami International University of Art and Design,Florida,12500,12389259,3,844,117,-80.189022,25.78957
Carlos Albizu University-Miami Campus,Florida,5670,8570147.35,2,617,82,-80.357103,25.795094
Lindsey Hopkins Technical Education Center,Florida,,5026160,1,666,,-80.210083,25.795095
ATI Career Training Center,Florida,,190143331,3,1084,127,-80.314429,25.797042
George T Baker Aviation School,Florida,,1876663,1,417,,-80.264384,25.804097
Advanced Technical Centers,Florida,,898212,2,16,,-80.287107,25.807552
Polytechnic University of Puerto Rico-Miami Campus,Florida,11340,1916216,2,185,23,-80.328848,25.809601
Talmudic College of Florida,Florida,,1856560,2,,34,-80.135821,25.812428
Compu-Med Vocational Careers Corp,Florida,,529068,3,89,,-80.3069,25.84843
Total International Career Institute,Florida,5100,101591,3,11,,-80.306358,25.849387
Advance Science Institute,Florida,,618896,3,58,,-80.306595,25.855657
Florida National College,Florida,,15101025,3,1288,122,-80.322349,25.86091
Beauty Schools of America,Florida,,1242584,3,,,-80.304465,25.866513
La Belle Beauty School,Florida,,1557752,3,316,,-80.312593,25.86666
Barry University,Florida,15530,89169416,2,7909,977,-80.194127,25.879144
American Advanced Technicians Institute,Florida,,660648,3,117,,-80.323282,25.884873
Miami Lakes Educational Center,Florida,,17109476,1,1509,,-80.294687,25.916929
Florida Memorial University,Florida,6404,26205373,2,1738,296,-80.268367,25.918471
Saint Thomas University,Florida,12720,36224792,2,2184,272,-80.260518,25.923894
Beauty Schools of America,Florida,,1487083,3,329,,-80.163719,25.926019
National School of Technology Inc,Florida,7947,12112415,3,1653,155,-80.203692,25.942671
Health Opportunity Technical Center,Florida,,1711144,3,101,,-80.205159,25.94364
Concorde Career Institute,Florida,,2281000,3,384,,-80.293608,25.975746
Le Cordon Bleu College of Culinary Arts-Miami,Florida,33000,16763787,3,636,92,-80.28822,25.97807
DeVry University-Florida,Florida,9250,3255727,3,349,,-80.339299,25.986215
HOLLYWOOD INSTITUTE INC,Florida,,,3,,,-80.207454,26.003797
FastTrain of Pembroke Pines,Florida,13200,830010,3,55,15,-80.357487,26.007527
Sheridan Technical Center,Florida,7009,15043379,1,1484,,-80.19838,26.032442
ASM Beauty World Academy,Florida,,,3,,,-80.231969,26.046074
Key College,Florida,5985,1405702,3,156,26,-80.140396,26.052563
ITT Technical Institute,Florida,8073,6538378,3,578,47,-80.251334,26.079868
Nova Southeastern University,Florida,11607,274802086,2,17810,3263,-80.238441,26.079871
McFatter Technical Center,Florida,7009,12437540,1,684,,-80.231485,26.086269
American Intercontinental University,Florida,,5969563,3,391,,-80.36698,26.091355
The Art Institute of Fort Lauderdale Inc,Florida,11925,32318988,3,2746,291,-80.164701,26.09989
Trinity International University,Florida,8650,4364608,2,467,47,-80.256922,26.100238
Broward Community College,Florida,4458,100921110,1,24720,3102,-80.141088,26.119185
FastTrain of Ft. Lauderdale,Florida,13200,1311551,3,86,15,-80.202118,26.121534
Atlantic Institute of Oriental Medicine,Florida,8500,705983,2,62,,-80.142427,26.122212
National School of Technology,Florida,,3842919,3,598,,-80.114775,26.139269
Lorenzo Walker Institute of Technology,Florida,6600,7901477,1,1120,,-81.762068,26.142155
Florida Academy of Health & Beauty,Florida,5750,215255,3,54,,-80.154308,26.156766
Medvance Institute of Fort Lauderdale,Florida,,4043081,3,28,,-80.213862,26.164672
Hope Career Institute,Florida,,797855,3,98,,-80.198927,26.165149
Coral Ridge Nurses Assistant Training School Inc,Florida,,77715,3,23,,-80.171343,26.165678
School of Health Careers,Florida,,573577,3,27,,-80.202967,26.165753
ATI Career Training Center,Florida,,93434492,3,4062,403,-80.154768,26.170415
Empire Beauty School-Lauderhill,Florida,,1675184,3,92,8,-80.251717,26.185123
Keiser College-Ft Lauderdale,Florida,7950,36454067,3,3064,387,-80.163102,26.186579
City College,Florida,5760,7855367,2,916,158,-80.17007,26.18748
Sanford-Brown Institute,Florida,,2933849,3,280,,-80.159758,26.203227
Allied Health Institute,Florida,,3697447,3,369,32,-80.204258,26.211649
Florida Metropolitan University,Florida,6480,7575204,3,,74,-80.10298,26.233864
Ave Maria School of Law,Florida,,10085863,2,,,-81.731045,26.24209
Atlantic Technical Center,Florida,7009,11850443,1,3574,,-80.189862,26.244552
Margate School of Beauty Inc,Florida,,486616,3,302,,-80.196909,26.244621
Wolford College,Florida,,3482399,2,175,,-81.792194,26.269102
Florida Barber Academy,Florida,,336413,3,44,,-80.098131,26.271491
Florida College of Natural Health,Florida,,7944025,3,419,37,-80.149853,26.274656
International College,Florida,6600,10090878,2,796,84,-81.737761,26.277197
SOUTH FLORIDA BIBLE COLLEGE AND THEOLOGICAL SEM,Florida,,,2,,,-80.092568,26.30784
Cozmo The School,Florida,,1137575,3,45,8,-81.781308,26.330908
Ave Maria University,Florida,13890,23803641,2,374,142,-81.438507,26.331884
Florida Atlantic University,Florida,9241,216326695,1,20126,3130,-80.101041,26.364871
Lynn University,Florida,17300,51524498,2,1923,597,-80.12129,26.384181
Everglades University,Florida,7980,,2,18,3,-80.10774,26.393593
Digital Media Arts College,Florida,22260,7703985,3,406,,-80.111047,26.396245
Institute of Allied Medical Professions,Florida,,4862379,3,383,54,-80.124614,26.439203
Florida Gulf Coast University,Florida,9014,44836826,1,3292,440,-81.77231,26.46179
Saint Vincent de Paul Regional Seminary,Florida,,2720497,2,93,37,-80.123246,26.516943
Heritage Institute-Ft Myers,Florida,,149194,3,12,,-81.847756,26.544621
ITT Technical Institute_ort Myers,Florida,16848,439431,3,42,23,-81.808352,26.545545
Edison College,Florida,4532,29896383,1,8953,679,-81.887499,26.556838
New Covenant International University,Florida,,,2,,,-80.113982,26.56617
Southwest Florida College,Florida,5400,6531162,2,729,32,-81.87764,26.595781
Sunstate Academy,Florida,,439880,3,69,,-81.867674,26.596898
Palm Beach Community College,Florida,4523,70175653,1,16962,2099,-80.08902,26.615684
Medical Institute of Palm Beach,Florida,,526663,3,98,13,-80.13622,26.62047
Academy of Healing Arts Massage & Facial Skin Care,Florida,,537125,3,115,,-80.11311,26.631187
Medvance Institute-Atlantis,Florida,,6527652,3,421,29,-80.088334,26.63624
Lee County High Tech Center Central,Florida,5040,4532315,1,1058,,-81.833044,26.648511
Keiser Career College-Greenacres,Florida,,3376543,3,534,,-80.15382,26.650981
Lee County High Tech Center North,Florida,,2543806,1,265,,-81.974639,26.658647
Medical Career Institute of South Florida,Florida,,824913,3,67,0,-80.097545,26.706119
Academy for Practical Nursing & Health Occupations,Florida,,1453948,2,,,-80.121202,26.706953
The Beauty Institute,Florida,,314684,3,42,,-80.111049,26.710096
Palm Beach Atlantic University-West Palm Beach,Florida,11170,42682636,2,2163,441,-80.049183,26.720655
New England Institute of Technology-Palm Beach,Florida,8038,15019013,3,1092,143,-80.093277,26.757031
Palm Beach Academy of Health & Beauty,Florida,,1184780,3,122,,-80.074366,26.803804
Charlotte Technical Center,Florida,,3511638,1,810,,-82.148772,27.00647
Hobe Sound Bible College,Florida,3940,2154714,2,150,24,-80.130741,27.066255
Medvance Institute-Stuart,Florida,,2659230,3,127,0,-80.250058,27.191541
Fashion Focus Hair Academy,Florida,,360879,3,39,,-82.517412,27.258872
Sarasota County Technical Institute,Florida,,12893067,1,1145,,-82.497679,27.285022
Argosy University-Sarasota Campus,Florida,,5996694,3,1853,45,-82.464794,27.351874
Ringling School of Art and Design,Florida,14500,18717000,2,892,200,-82.548985,27.359936
East West College of Natural Medicine,Florida,,709271,3,93,,-82.551813,27.368018
Sunstate Academy,Florida,,264474,3,30,,-82.42463,27.381073
New College of Florida,Florida,9182,14026816,1,629,198,-82.559049,27.384452
Sarasota School of Massage Therapy,Florida,,647313,3,,,-82.48703,27.389694
University of South Florida Sarasota-Manatee,Florida,15188,21190163,1,1803,159,-82.560839,27.391946
Fort Pierce Beauty Academy,Florida,,169431,3,20,,-80.325863,27.412523
Indian River Community College,Florida,4456,57332572,1,12589,1512,-80.357701,27.425332
Manatee Community College,Florida,4523,31039714,1,7078,595,-82.587749,27.437427
Manatee Technical Institute,Florida,,9394960,1,2636,,-82.595768,27.441007
Ari Ben Aviator,Florida,,5108321,3,66,,-80.357357,27.484069
Bradenton Beauty and Barber Academy,Florida,,202299,3,30,,-82.616199,27.495788
South Florida Community College,Florida,3392,22439388.48,1,2076,452,-81.51286,27.569908
Eckerd College,Florida,18025,62221900,2,1530,421,-82.685714,27.71901
Pinellas Technical Education Center,Florida,,7954353,1,1349,,-82.679471,27.761451
University of South Florida-St. Petersburg Campus,Florida,14340,49921981,1,3895,625,-82.633936,27.763068
Aveda Institute-Saint Petersburg,Florida,,5050561,3,115,17,-82.637115,27.769121
Loraines Academy Inc,Florida,,1106473,3,148,,-82.712361,27.781917
St Petersburg Theological Seminary,Florida,,,2,,,-82.789735,27.813352
Warner Southern College,Florida,8340,11504120,2,844,164,-81.593289,27.825074
Lincoln Technical Institute,Florida,,732505,3,161,21,-82.761,27.839276
Humanities Center Institute of Allied Health School of Massage,Florida,,1279893,3,123,,-82.688722,27.839311
Webber International University,Florida,8160,3269524,2,458,79,-81.532811,27.841378
ITT Technical Institute-Pinellas Park,Florida,15300,654666,3,77,24,-82.645427,27.860289
Career Institute of Florida,Florida,,1368013,3,160,0,-82.729209,27.884346
National Aviation Academy A & P School,Florida,,4074979,3,182,23,-82.721198,27.893878
Schiller International University,Florida,15290,4163717,3,310,68,-82.757492,27.894351
St Petersburg College,Florida,4727,84018628,1,19964,1731,-82.717811,27.901018
Manhattan Hair,Florida,,895465,3,163,,-82.518427,27.901731
Pinellas Technical Education Center-Clearwater,Florida,8775,12417533,1,2912,,-82.719246,27.91236
American Institute of Beauty,Florida,,639518,3,76,,-82.748792,27.916398
Florida Metropolitan University-Pinellas,Florida,6480,6517556,3,2880,20,-82.775929,27.916593
Hillsborough Community College,Florida,4722,64527398,1,17319,2281,-82.456919,27.934513
Florida Career Institute Inc,Florida,,1750522,3,218,,-81.986439,27.936888
The University of Tampa,Florida,14740,69241906,2,3316,467,-82.463895,27.945657
Artistic Nails and Beauty Academy,Florida,,847102,3,48,,-82.403659,27.951957
FastTrain of Tampa,Florida,13200,1342807,3,86,14,-82.517282,27.952165
Argosy University-Tampa Campus,Florida,6237,926030,3,236,10,-82.482949,27.955121
Concorde Career Institute,Florida,,1287000,3,243,,-82.514754,27.959418
Ultimate Medical Academy,Florida,,,3,,,-82.785496,27.960937
Clearwater Christian College,Florida,8000,8015856,2,641,124,-82.697906,27.961259
Edutech Centers,Florida,,1617834,3,259,,-82.7258,27.962196
Brewster Technical Center,Florida,7425,5094127,1,245,,-82.460873,27.96482
Sunstate Academy,Florida,,368286,3,60,,-82.732915,27.967857
Gulf Coast College,Florida,6975,988367,3,127,23,-82.360486,27.979796
Florida Metropolitan University-Brandon,Florida,6480,6157975,3,717,39,-82.349509,27.980545
Remington College-Tampa Campus,Florida,8618,20322863,3,1780,254,-82.386563,27.981593
ITT Technical Institute,Florida,8073,8580315,3,726,54,-82.547701,27.981806
South University-Tampa,Florida,16760,5953267,3,297,48,-82.501261,27.982406
International Academy of Design and Technology,Florida,10260,10429185,3,900,50,-82.546197,27.991661
International Academy of Design and Technology-Online,Florida,12600,23667341,3,1409,153,-82.546197,27.991661
